IDENT,RAW,GOLD,digitize_flagged
100031,#4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,number 4 rocker cover gasket leaking. replaced gasket.,False
100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED. REMOVED & REPLACED #4 AIR BAFFLE.,right engine number 4 air baffle is cracked. removed and replaced number 4 air baffle.,False
100033,R/H ENG FWD ALT ATTACH BOLT LOOSE. SECURED ALT ATTACH BOLT & RESAFETIED.,right-hand engine forward alternator attach bolt loose. secured alternator attach bolt and resafetied.,False
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSY.,left-hand engine number 4 aft baffle cracked in multiple places. replaced baffle assembly.,False
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING. REMOVED & REPLACED ALL ROCKER GASKETS.","right engine, all valve covers are leaking. removed and replaced all rocker gaskets.",False
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,left-hand engine all 4 rocker cover gaskets leaking. replaced all rocker cover gaskets.,False
100037,"L/H ENG #2 INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO","left-hand engine number 2 intake leaking. removed tube, found to be cracked. removed tube",False
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E. RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","in flight, engine became rough. discovered right magneto inoperable. ran aircraft, magnetos check good. power and leak check good.",False
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E. REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","in flight, engine became rough. discovered right magneto inoperable. removed number 3 cylinder, disconnected fuel distributor line",False
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E. REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","in flight, engine became rough. discovered right magneto inoperable. reassembled engine, number 3 cylinder dry tappet clearance check good",False
100041,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,number 4 intake leaking. removed and replaced number 4 intake gasket.,False
100042,#3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,number 3 rocker cover gasket leaking. removed and replaced number 3 rocker cover gasket.,False
100043,TOP L/H BAFFLE HAS A CRACK. STOP DRILLED CRACK.,top left-hand baffle has a crack. stop drilled crack.,False
100045,#3 BRAKE MISSING SCREW. REPLACED SCREW.,number 3 brake missing screw. replaced screw.,False
100047,#2 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,number 2 and number 4 rocker covers are leaking. removed and replaced number 2 and number 4 rocker cover gaskets.,False
100048,#3 AFT BAFFLE BRACKET LOOSE. REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,number 3 aft baffle bracket loose. removed and replaced missing rivets with screws and nuts.,False
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN. REMOVED & REPLACED MOUNTS.","numbers 1, 2 and 6 cowl mounts are torn. removed and replaced mounts.",False
100052,#2 & 4 ROCKER COVERS LEAKING. REMOVED & REPLACED GASKETS.,number 2 and number 4 rocker covers leaking. removed and replaced gaskets.,False
100053,#4 INTAKE IS LEAKING. REPLACED GASKET & INSPECTED INTAKE TUBE.,number 4 intake is leaking. replaced gasket and inspected intake tube.,False
100055,L/H BAFFLE PLUG WORN. REMOVED & REPLACED PLUG.,left-hand baffle plug worn. removed and replaced plug.,False
100056,#1 ROCKER COVER LEAKING. REMOVED & REPLACED GASKET.,number 1 rocker cover leaking. removed and replaced gasket.,False
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE. SECURED SEALS.,left-hand engine number 2 and number 4 side baffle seals loose. secured seals.,False
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE. SECURED BAFFLE SEAL.,right-hand engine number 3 aft baffle seal is loose. secured baffle seal.,False
100060,#4 ROCKER COVER GASKET TORN. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover gasket torn. removed and replaced number 4 rocker cover gasket.,False
100061,#1 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED ROCKER COVER W/ NEW.,number 1 rocker cover gasket leaking. removed and replaced rocker cover with new.,False
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE). ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,"during ground run pilot noticed high oil pressure, engine. adjusted engine oil pressure relief valve.",False
100066,"AFTER LANDING, A/C IDLE @ 970 RPM. ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA","after landing, aircraft idle at 970 rpm. adjusted idle setting by lowering. idle setting within manufacturer's limits",False
100068,R/H ENG #2 INTAKE LEAKS. REPLACED GASKET.,right-hand engine number 2 intake leaks. replaced gasket.,False
100069,L/H ENG #4 CYL BAFFLE CRACKED. STOP DRILLED CRACK.,left-hand engine number 4 cylinder baffle cracked. stop drilled crack.,False
100070,R/H ENG #4 CYL BAFFLE CRACKED. STOP DRILLED CRACK.,right-hand engine number 4 cylinder baffle cracked. stop drilled crack.,False
100071,"LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM. RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.","last daily shutdown idle override speed check, engine rpm. ran aircraft, adjusted idle speed. checks good.",False
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN. FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,number 2 and number 4 side baffle brace broken. fabricated brace from like material and installed.,False
100073,#4 CYL INTAKE GASKET IS LEAKING. REMOVED & REPLACED GASKET.,number 4 cylinder intake gasket is leaking. removed and replaced gasket.,False
100074,#4 ROCKER BOX COVER GASKET LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,number 4 rocker box cover gasket leaking. removed and replaced rocker cover gasket.,False
100075,BAFFLE PLUG HOLE WORN. INSTALLED PATCH & NEW PLUG.,baffle plug hole worn. installed patch and new plug.,False
100076,"ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT. RAN A/C, OPS & LEAK CHECK GOOD.","engine started running rough and vibrating a lot. ran aircraft, operations and leak check good.",False
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT. COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,engine started running rough and vibrating a lot. completed reassembly of number 3 cylinder assembly. installed new intake valve,False
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT. REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,engine started running rough and vibrating a lot. removed number 3 cylinder. installed serviceable cylinder assembly.,False
100081,#2 INTAKE LEAKS. REPLACED GASKET.,number 2 intake leaks. replaced gasket.,False
100082,#4 INTAKE LEAKS. REPLACED GASKET.,number 4 intake leaks. replaced gasket.,False
100083,#3 INTAKE TUBE GASKET IS LEAKING. REPLACED GASKET.,number 3 intake tube gasket is leaking. replaced gasket.,False
100085,"ENGINE WOULD NOT START. STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA","engine would not start. started engine, leaned mixture to clean spark plugs.",False
100086,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,number 2 intake is leaking. removed and replaced number 2 intake gasket.,False
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH. DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H","top front right-hand baffle, baffle seal rivet pulled through. drilled out rivet and installed screw and nut to attach right-hand",False
100088,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,rocker box cover screws loose. tightened screws.,False
100089,#2 INDUCTION TUBE GASKET LEAKING. REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,number 2 induction tube gasket leaking. removed and replaced number 2 induction tube gasket.,False
100090,#2 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED GASKETS.,number 2 and number 4 rocker covers are leaking. removed and replaced gaskets.,False
100091,#1 INTAKE LEAKING. REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,number 1 intake leaking. removed and replaced number 1 intake gasket with new.,False
100092,#3 & 4 ROCKER COVERS LEAKING. REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,number 3 and number 4 rocker covers leaking. removed and replaced number 3 and number 4 rocker cover gaskets with new.,False
100093,#1 ROCKER COVER IS LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,number 1 rocker cover is leaking. removed and replaced rocker cover gasket.,False
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING. REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,left-hand engine number 4 cylinder intake gasket is leaking. removed and replaced number 4 intake gasket with new.,False
100096,#4 ROCKER COVER LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover leaking. removed and replaced number 4 rocker cover gasket.,False
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE. TIGHTENED HOSE CLAMP.,number 2 oil return line hose clamp is loose. tightened hose clamp.,False
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR. FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,rough running engine on start. engine ran smoother as it warmed up. finished reaming all 4 exhaust valve guides.,False
100099,"ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR. REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH","rough running engine on start. engine ran smoother as it warmed up. removed cowling, removed all spark plugs. reamed number 3 exhaust valve guide",False
100100,#3 ROCKER COVER IS LEAKING. REMOVED & REPLACED GASKET.,number 3 rocker cover is leaking. removed and replaced gasket.,False
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING. INSTALLED NEW BOLT.,right-hand engine number 4 cylinder baffle bolt missing. installed new bolt.,False
100103,"R/H ENGINE #1 & 4 ROCKER COVERS LEAKING. REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.","right-hand engine number 1 and number 4 rocker covers leaking. removed and replaced right-hand rocker cover gaskets, 1 and 4.",False
100105,ENGINE DIED DURING MAG CK. STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,engine died during magneto check. started aircraft using flooded start procedure,False
100106,#3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,number 3 rocker cover gasket leaking. removed and replaced number 3 rocker cover gasket.,False
100107,"#2, 4 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.",number 2 and number 4 rocker cover gasket leaking. removed and replaced number 2 and number 4 rocker cover gaskets.,False
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE. TIGHTENED CLAMPS.,number 2 and number 4 cylinder oil return line clamps loose. tightened clamps.,False
100109,R/H ENGINE #2 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,right-hand engine number 2 intake gasket leaking. removed and replaced gasket.,False
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE. RESECURED BAFFLE SEALS.,baffle seals under both propeller governors are loose. resecured baffle seals.,False
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. INSTALLED REPAIRED BAFFLING.,left-hand engine number 4 aft baffle cracked in multiple places. installed repaired baffling.,False
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. REMOVED BAFFLE & SWAPPED ACCESSORIES.,left-hand engine number 4 aft baffle cracked in multiple places. removed baffle and swapped accessories.,False
100114,#1 L/H INTAKE HAS LARGE GOUGE. REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,number 1 left-hand intake has large gouge. removed and replaced number 1 left-hand intake pipe with serviceable pipe,False
100117,#4 ROCKER COVER IS LEAKING. REPLACED GASKET.,number 4 rocker cover is leaking. replaced gasket.,False
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE. SECURED BAFFLE SEAL.,left-hand side of engine forward rubber seal loose. secured baffle seal.,False
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,number 1 and number 3 rocker cover gaskets are leaking. removed and replaced gaskets.,False
100120,R/H BAFFLE FRONT SIDE HAS A CRACK. STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,right-hand baffle front side has a crack. stop drilled crack and fabricated patch with like material.,False
100123,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER GASKET.,number 4 rocker cover is leaking. removed and replaced number 4 rocker gasket.,False
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING. INSTALLED NEW #4 INTAKE GASKET.,right-hand engine number 4 cylinder intake gasket is leaking. installed new number 4 intake gasket.,False
100125,SCREW IS MISSING ON #3 CYL BAFFLE. INSTALLED NEW SCREW.,screw is missing on number 3 cylinder baffle. installed new screw.,False
100127,"TOP BACK L/H CORNER BAFFLE IS CRACKED. STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.","top back left-hand corner baffle is cracked. stop drilled crack, fabricated patch with like material.",False
100128,#2 CYL INTAKE GASKET IS LEAKING. REMOVED & REPLACED GASKET.,number 2 cylinder intake gasket is leaking. removed and replaced gasket.,False
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,number 2 and number 3 rocker cover gaskets are leaking. removed and replaced gaskets.,False
100131,"ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED. FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL","engine started running rough shortly after takeoff and landed. freed exhaust valve, inspected and found to be serviceable",False
100132,#1 & 3 INTAKES LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,number 1 and number 3 intakes leaking. removed and replaced number 1 and number 3 rocker cover gaskets.,False
100133,#2 & 4 ROCKER COVER LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.,number 2 and number 4 rocker cover leaking. removed and replaced rocker cover gaskets.,False
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. OPS & LEAK CHECK GOOD.,noted wear on engine mount caused by engine breather support. operations and leak check good.,False
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. FINISHED INSTALLATION OF ENGINE.,noted wear on engine mount caused by engine breather support. finished installation of engine.,False
100138,"NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M","noted wear on engine mount caused by engine breather support. removed engine. replaced engine mount, torqued engine mount",False
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING. REPLACED ALL 3 GASKETS.","left-hand engine numbers 2, 3 and 4 intakes are leaking. replaced all 3 gaskets.",False
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING. REMOVED & REPLACED GASKET.,left-hand engine number 3 rocker cover is leaking. removed and replaced gasket.,False
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING. REPLACED #2 & 4 ROCKER COVERS.,right-hand engine number 2 and number 4 rocker covers are leaking. replaced number 2 and number 4 rocker covers.,False
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED. REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A","left-hand engine, left aft baffle angle bracket is cracked. removed brace, stop drilled crack.",False
100144,ROCKER BOX COVER SCREWS LOOSE. RETORQUED SCREWS.,rocker box cover screws loose. retorqued screws.,False
100145,#2 ROCKER BOX COVER GASKET LEAKING. INSTALLED NEW #2 ROCKER BOX COVER GASKET.,number 2 rocker box cover gasket leaking. installed new number 2 rocker box cover gasket.,False
100146,#4 ROCKER COVER GASKET LEAKING. INSTALLED NEW #4 ROCKER BOX COVER GASKET.,number 4 rocker cover gasket leaking. installed new number 4 rocker box cover gasket.,False
100147,LEFT BRAKE LININGS ARE WORN OUT. REPLACED BRAKE LININGS.,left brake linings are worn out. replaced brake linings.,False
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING. REMOVED & REPLACED #3 ROCKER COVER.,right engine number 3 rocker cover is leaking. removed and replaced number 3 rocker cover.,False
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO. LEAK CHECK GOOD.,engine overspeed up to 3400 rpm at termination of an autorotation. leak check good.,False
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO. BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,engine overspeed up to 3400 rpm at termination of an autorotation. began engine overspeed inspection in accordance with reference manual. identified and corrected,False
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO. FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,engine overspeed up to 3400 rpm at termination of an autorotation. finished valve train overspeed inspection was completed,False
100153,#2 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,number 2 rocker cover gasket leaking. replaced gasket.,False
100155,#2 ROCKER BOX COVER SCREWS LOOSE. RETORQUED SCREWS.,number 2 rocker box cover screws loose. retorqued screws.,False
100157,"R/H ENG ROUGH IN FLIGHT. RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D","right-hand engine rough in flight. ran aircraft, couldn't duplicate discrepancy. no defects noted",False
100158,#1 & 3 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED 1 & 3 ROCKER COVERS.,number 1 and number 3 rocker covers are leaking. removed and replaced number 1 and number 3 rocker covers.,False
100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE. TIGHTENED ALL SCREWS FOR ROCKER COVERS.","both engines, all rocker covers loose. tightened all screws for rocker covers.",False
100163,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. OPS & LEAK CHECKED GOOD.,left-hand engine needs to be removed to facilitate repair. operations and leak checked good.,False
100164,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. OPS & LEAK CHECKED GOOD.,right-hand engine needs to be removed to facilitate repair. operations and leak checked good.,False
100165,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. INSTALLED R/H ENGINE TO AIRFRAME.,right-hand engine needs to be removed to facilitate repair. installed right-hand engine to airframe.,False
100166,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. FINISHED INSTALLING NACELLE WIRING.,right-hand engine needs to be removed to facilitate repair. finished installing nacelle wiring.,False
100168,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CONTINUED WIRING & ENGINE CONTROL INSTALLATION.,right-hand engine needs to be removed to facilitate repair. continued wiring and engine control installation.,False
100169,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.,left-hand engine needs to be removed to facilitate repair. preserved cylinders. prepared engine for storage.,False
100172,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSY TO A,left-hand engine needs to be removed to facilitate repair. unpacked engine from pallet. installed engine assembly to airframe,False
100174,"L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL","left-hand engine needs to be removed to facilitate repair. routed and secured wiring, fuel and oil lines, control cable",False
100176,"L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA","left-hand engine needs to be removed to facilitate repair. cleaned plugs, serviced oil. ran left-hand engine",False
100177,"L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED LEFT ENGINE, PROP/MOUNT ASSY.","left-hand engine needs to be removed to facilitate repair. removed left engine, propeller and mount assembly.",False
100178,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW,left-hand engine needs to be removed to facilitate repair. removed oil sump and accessory case. inspected in accordance with reference manual,False
100179,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO,right-hand engine needs to be removed to facilitate repair. started wiring installation and control cable installation,False
100181,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO,right-hand engine needs to be removed to facilitate repair. connected wiring and secured. attached and rigged engine,False
100182,"R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION","right-hand engine needs to be removed to facilitate repair. cleaned plugs, serviced oil. ran engine",False
100183,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED R/H ENGINE/PROP/MOUNT ASSY. PRESERVED CYLS. PAL,"right-hand engine needs to be removed to facilitate repair. removed right-hand engine, propeller, and mount assembly. preserved cylinders.",False
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR. REMOVED ENGINE.,remove engine to facilitate firewall repair. removed engine.,False
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL. INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,reinstall engine after repair to firewall. installed engine after repair to firewall was completed,False
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL. FIREWALL REPAIRED BY ODEGAARD WINGS.,reinstall engine after repair to firewall. firewall repaired by odegaard wings.,False
100187,#2 & 4 INTAKE GASKET LEAKING. REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,number 2 and number 4 intake gasket leaking. removed and replaced number 2 and number 4 intake gaskets.,False
100188,#2 INTAKE LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 2 intake leaking. removed and replaced intake gasket.,False
100189,#3 ROCKER COVER LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,number 3 rocker cover leaking. removed and replaced number 3 rocker cover gasket.,False
100190,AFT BAFFLE SCREW LOOSE. TIGHTENED BAFFLE SCREW.,aft baffle screw loose. tightened baffle screw.,False
100191,#4 REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,number 4 rear engine baffle cracked. stop drilled crack.,False
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"induction tube hose clamps loose, all cylinders. tightened hose clamps.",False
100193,#3 CYL EXHAUST SEAL LEAKING. REMOVED & REPLACED SEAL.,number 3 cylinder exhaust seal leaking. removed and replaced seal.,False
100195,ENGINE BAFFLE BUTTONS WORN. REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.,engine baffle buttons worn. removed and replaced engine baffle buttons on left-hand and right-hand.,False
100196,MISSING SCREW ON #3 ROCKER COVER. INSTALLED NEW SCREW.,missing screw on number 3 rocker cover. installed new screw.,False
100197,#2 & 4 INTAKES ARE LEAKING. REMOVED & REPLACED INTAKE GASKETS.,number 2 and number 4 intakes are leaking. removed and replaced intake gaskets.,False
100198,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,number 2 rocker cover gasket leaking. removed and replaced rocker cover gasket.,False
100199,"ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T. STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA","engine runs rough after start. started aircraft, verified engine runs very rough.",False
100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T. PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,engine runs rough after start. performed service instruction 91 c on all 4 cylinders. reamed exhaust valve guides,False
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE. TIGHTENED ALL SCREWS.,all rocker cover screws are loose on left-hand engine. tightened all screws.,False
