IDENT,PROBLEM,ACTION
100040,"in flight, engine became rough. discovered right magneto inoperable.","reassembled engine, number 3 cylinder dry tappet clearance check good"
100041,number 4 intake leaking.,removed and replaced number 4 intake gasket.
100042,number 3 rocker cover gasket leaking.,removed and replaced number 3 rocker cover gasket.
100043,"top left, hand baffle has a crack.",stop drilled crack.
100044,oil dipstick oil stick is loose.,removed and replaced dipstick.
100045,number 3 brake missing screw.,replaced screw.
100046,baffle seals on right-hand side are torn.,applied silicone to torn areas.
100047,number 2 and number 4 rocker covers are leaking.,removed and replaced number 2 and number 4 rocker cover gaskets.
100048,number 3 aft baffle bracket loose.,removed and replaced missing rivets with screws and nuts.
100049,number 4 cylinder rocker cover is leaking.,removed and replaced gasket.
100050,"number 1, 2, and 6 cowl mounts are torn.",removed and replaced mounts.
100051,number 4 intake leaking.,removed and replaced gasket.
100052,number 2 and number 4 rocker covers leaking.,removed and replaced gaskets.
100053,number 4 intake is leaking.,replaced gasket and inspected intake tube.
100054,"during idle check on run up, engine quit. restart engine","adjusted idle setting, idle indicating 650 rpm during reference manual"
100055,"left,hand baffle plug worn.",removed and replaced plug.
100056,number 1 rocker cover leaking.,removed and replaced gasket.
100057,"left,hand engine number 2 and number 4 side baffle seals loose.",secured seals.
100058,right-hand engine number 3 aft baffle seal is loose.,secured baffle seal.
100059,number 3 rocker cover gasket torn.,removed and replaced number 3 rocker cover gasket.
100060,number 4 rocker cover gasket torn.,removed and replaced number 4 rocker cover gasket.
100061,number 1 rocker cover gasket leaking.,removed and replaced rocker cover with new.
100062,during ground run pilot noticed high oil pressure engine.,adjusted engine oil pressure relief valve.
100063,during ground run pilot noticed high oil pressure engine.,"aircraft was ground ran to full power, oil pressure checked ok."
100064,student couldn't start aircraft.,started aircraft for student.
100065,vacuum tube and oil cooler line are rubbing together.,"moved adel clamp and applied 2 zip ties, no defects noted"
100066,"after landing, aircraft idle at 970 rpm.",adjusted idle setting by lowering. idle setting within manual
100067,fuel pressure 32 to 33 with jumps into red.,cleaned transducer ground path. fuel pressure checked good
100068,right-hand engine number 2 intake leaks.,replaced gasket.
100069,"left,hand engine number 4 cylinder baffle cracked.",stop drilled crack.
100070,right-hand engine number 4 cylinder baffle cracked.,stop drilled crack.
100071,"last daily shutdown idle override speed check, engine rpm","ran aircraft, adjusted idle speed. checks good."
100072,number 2 and number 4 side baffle brace broken.,fabricated brace from like material and installed.
100073,number 4 cylinder intake gasket is leaking.,removed and replaced gasket.
100074,number 4 rocker box cover gasket leaking.,removed and replaced rocker cover gasket.
100075,baffle plug hole worn.,installed patch and new plug.
100076,engine started running rough and vibrating a lot.,"ran aircraft, operations and leak check good."
100077,engine started running rough and vibrating a lot.,ran aircraft. confirmed discrepancy. found number 3 cylinder had very limits
100078,engine started running rough and vibrating a lot.,completed reassembly of number 3 cylinder assembly. installed new intake
100079,engine started running rough and vibrating a lot.,removed number 3 cylinder. installed serviceable cylinder assembly. torqued
100080,engine started running rough and vibrating a lot.,"disassembled numbers 1, 2, and 4 exhaust valves, reamed guides in accordance with reference manual"
100081,number 2 intake leaks.,replaced gasket.
100082,number 4 intake leaks.,replaced gasket.
100083,number 3 intake tube gasket is leaking.,replaced gasket.
100084,number 3 and 4 rocker cover gaskets are leaking.,replaced gaskets.
100085,engine would not start.,"started engine, leaned mixture to clean spark plugs."
100086,number 2 intake is leaking.,removed and replaced number 2 intake gasket.
100087,"top front right-hand baffle, baffle seal rivet pulled through.",drilled out rivet and installed screw and nut to attach right-hand
100088,rocker box cover screws loose.,tightened screws.
100089,number 2 induction tube gasket leaking.,removed and replaced number 2 induction tube gasket.
100090,number 2 and number 4 rocker covers are leaking.,removed and replaced gaskets.
100091,number 1 intake leaking.,removed and replaced number 1 intake gasket with new.
100092,number 3 and 4 rocker covers leaking.,removed and replaced number 3 and number 4 rocker cover gaskets with new.
100093,number 1 rocker cover is leaking.,removed and replaced rocker cover gasket.
100094,left-hand engine number 4 cylinder intake gasket is leaking.,removed and replaced number 4 intake gasket with new.
100095,rocker box cover screws loose.,tightened screws.
100096,number 4 rocker cover leaking.,removed and replaced number 4 rocker cover gasket.
100097,number 2 oil return line hose clamp is loose.,tightened hose clamp.
100098,rough running engine on start. engine ran smoother as it warmed up,finished reaming all 4 exhaust valve guides. installed
100099,rough running engine on start. engine ran smoother as it warmed up,"removed cowling, removed all spark plugs. reamed number 3 exhaust"
100100,number 3 rocker cover is leaking.,removed and replaced gasket.
100101,oil found on entire right side of fuselage.,"removed cowling, cleaned engine, performed engine run up"
100102,right-hand engine number 4 cylinder baffle bolt missing.,installed new bolt.
100103,right-hand engine number 1 and number 4 rocker covers leaking.,"removed and replaced right-hand rocker cover gaskets, 1 and 4."
100104,left-hand engine number 1 and number 3 rocker covers leaking.,"removed and replaced left-hand engine rocker cover gaskets, 1 and 1"
100105,engine died during magneto check.,started aircraft using flooded start procedure and ran aircraft
100106,number 3 rocker cover gasket leaking.,removed and replaced number 3 rocker cover gasket.
100107,"number 2, and number 4 rocker cover gasket leaking.",removed and replaced number 2 and number 4 rocker cover gaskets.
100108,number 2 and number 4 cylinder oil return line clamps loose.,tightened clamps.
100109,right-hand engine number 2 intake gasket leaking.,removed and replaced gasket.
100110,baffle seals under both propeller governors are loose.,resecured baffle seals.
100111,left-hand engine number 4 aft baffle cracked in multiple places.,installed repaired baffling.
100112,left-hand engine number 4 aft baffle cracked in multiple places.,removed baffle and swapped accessories.
100113,number 2 intake is leaking.,removed and replaced intake gasket.
100114,number 1 left-hand intake has large gouge.,removed and replaced number 1 left-hand intake pipe with serviceable pipe
100115,"left,hand engine number 3 rocker cover leaking.",removed and replaced left-hand engine number 3 rocker cover gasket.
100116,number 2 cylinder has low compression.,removed rocker cover and staked intake valve. passed complied with removed rocker cover and staked intake valve. passed complie
100117,number 4 rocker cover is leaking.,replaced gasket.
100118,left-hand side of engine forward rubber seal loose.,secured baffle seal.
100119,number 1 and number 3 rocker cover gaskets are leaking.,removed and replaced gaskets.
100120,right-hand baffle front side has a crack.,stop drilled crack and fabricated patch with like material.
100121,cylinder number 4 intake is leaking.,replaced intake gasket.
100122,number 2 intake is leaking.,removed and replaced number 2 intake gasket.
100123,number 4 rocker cover is leaking.,removed and replaced number 4 rocker gasket.
100124,right-hand engine number 4 cylinder intake gasket is leaking.,installed new number 4 intake gasket.
100125,screw is missing on number 3 cylinder baffle.,installed new screw.
100126,"right, hand front baffle seal loose.",resecured right-hand front baffle seal.
100127,"top back left, hand corner baffle is cracked.","stop drilled crack, fabricated patch with like material."
100128,number 2 cylinder intake gasket is leaking.,removed and replaced gasket.
100129,number 2 and number 3 rocker cover gaskets are leaking.,removed and replaced gaskets.
100130,engine started running rough shortly after takeoff and landed,ran engine briefly and noted that engine was not running
100131,engine started running rough shortly after takeoff and landed,"freed exhaust valve, inspected and found to be serviceable"
100132,number 1 and number 3 intakes leaking.,removed and replaced number 1 and number 3 rocker cover gaskets.
100133,number 2 and number 4 rocker cover leaking.,removed and replaced rocker cover gaskets.
100134,right-hand aft baffle mount rivets are sheared.,disconnected lines and wires to remove baffle. removed baffle
100135,cht needle bounces and had engine run rough momentarily.,"removed and replaced cht probe. inspected engine, no defects noted"
100136,noted wear on engine mount caused by engine breather support,operations and leak check good.
100137,noted wear on engine mount caused by engine breather support,finished installation of engine.
100138,noted wear on engine mount caused by engine breather support,"removed engine. replaced engine mount, torqued engine mount"
100139,"left-hand engine number 2, 3 and 4 intakes are leaking.",replaced all 3 gaskets.
100140,left-hand engine number 3 rocker cover is leaking.,removed and replaced gasket.
100141,right-hand engine number 2 and number 4 rocker covers are leaking.,replaced number 2 and number 4 rocker covers.
100142,right-hand engine number 3 and number 4 intake tubes are leaking.,replaced number 3 and number 4 intake gaskets.
100143,"left-hand engine, left aft baffle angle bracket is cracked.","removed brace, stop drilled crack. installed with large aircraft"
100144,rocker box cover screws loose.,retorqued screws.
100145,number 2 rocker box cover gasket leaking.,installed new number 2 rocker box cover gasket.
100146,number 4 rocker cover gasket leaking.,installed new number 4 rocker box cover gasket.
100147,left brake linings are worn out.,replaced brake linings.
100148,right engine number 3 rocker cover is leaking.,removed and replaced number 3 rocker cover.
100149,engine overspeed up to 3400 rpm at termination of an autorotation.,leak check good.
100150,engine overspeed up to 3400 rpm at termination of an autorotation.,began valve train overspeed inspected.
100151,engine overspeed up to 3400 rpm at termination of an autorotation.,began engine overspeed inspection in accordance with. identified and correctly checked
100152,engine overspeed up to 3400 rpm at termination of an autorotation.,finished valve train overspeed inspection. was completed
100153,number 2 rocker cover gasket leaking.,replaced gasket.
100154,number 2 cylinder has low compression.,"performed engine run up to operating temperatures, performed engine"
100155,number 2 rocker box cover screws loose.,retorqued screws.
100156,number 3 baffle button plug bad.,installed new button plug.
100157,"right, hand engine rough in flight.","ran aircraft, couldn't duplicate discrepancy. no defects noted"
100158,number 1 and number 3 rocker covers are leaking.,removed and replaced 1 and 3 rocker covers.
100159,"right, hand forward baffle seal loose.",resecured baffle seal.
100160,"while taxiing, engine quit.",found number 4 intake was leaking. removed and replaced intake
100161,"right-hand engine, forward inboard baffle has small crack.",stop drilled crack.
100162,"both engines, all rocker covers loose.",tightened all screws for rocker covers.
100163,left-hand engine needs to be removed to facilitate repair.,operations and leak checked good.
100164,right-hand engine needs to be removed to facilitate repair.,operations and leak checked good.
100165,right-hand engine needs to be removed to facilitate repair.,installed right-hand engine to airframe.
100166,right-hand engine needs to be removed to facilitate repair.,finished installing nacelle wiring.
100167,left-hand engine needs to be removed to facilitate repair.,finished reinstall of nacelle wiring.
100168,right-hand engine needs to be removed to facilitate repair.,continued wiring and engine control installation.
100169,left-hand engine needs to be removed to facilitate repair.,preserved cylinders. prepared engine for storage.
100170,right-hand engine needs to be removed to facilitate repair.,sealed control cable and electrical harness at firewall.
100171,left-hand engine needs to be removed to facilitate repair.,"installed and timed magnetos. routed, connected wiring"
100172,left-hand engine needs to be removed to facilitate repair.,unpacked engine from pallet. installed engine assembly to aircraft
100173,left-hand engine needs to be removed to facilitate repair.,"ran wiring through firewall, ran cables through firewall"
100174,left-hand engine needs to be removed to facilitate repair.,"routed and secured wiring, fuel and oil lines, control cable"
100175,left-hand engine needs to be removed to facilitate repair.,sealed control cable and electrical harness at firewall.
100176,left-hand engine needs to be removed to facilitate repair.,"cleaned plugs, serviced oil. ran left-hand engine, all indicated"
100177,left-hand engine needs to be removed to facilitate repair.,"removed left engine, propeller, and mount t assembly."
100178,left-hand engine needs to be removed to facilitate repair.,removed oil sump and accessory case. inspected in accordance with reference manual
100179,right-hand engine needs to be removed to facilitate repair.,started wiring installation and control cable installation
100180,right-hand engine needs to be removed to facilitate repair.,continued wiring and control cable routing. connected cowl
100181,right-hand engine needs to be removed to facilitate repair.,connected wiring and secured. attached and rigged engine
100182,right-hand engine needs to be removed to facilitate repair.,"cleaned plugs, serviced oil. ran engine, all indications"
100183,right-hand engine needs to be removed to facilitate repair.,"removed right-hand engine, propeller, mount t assembly. preserved cylinders."
100184,remove engine to facilitate firewall repair.,removed engine.
100185,reinstall engine after repair to firewall.,installed engine after repair to firewall was completed
100186,reinstall engine after repair to firewall.,firewall repaired by odegaard wings.
100187,number 2 and number 4 intake gasket leaking.,removed and replaced number 2 and number 4 intake gaskets.
100188,number 2 intake leaking.,removed and replaced intake gasket.
100189,number 3 rocker cover leaking.,removed and replaced number 3 rocker cover gasket.
100190,aft baffle screw loose.,tightened baffle screw.
100191,number 4 rear engine baffle cracked.,stop drilled crack.
100192,induction tube hose clamps loose all cylinders.,tightened hose clamps.
100193,number 3 cylinder exhaust seal leaking.,removed and replaced seal.
100194,felt on number 1 and number 3 baffle coming loose.,prepped area and applied sealant.
100195,engine baffle buttons worn.,removed and replaced engine baffle buttons on left-hand and right-hand.
100196,missing screw on number 3 rocker cover.,installed new screw.
100197,number 2 and number 4 intakes are leaking.,removed and replaced intake gaskets.
100198,number 2 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
100199,engine runs rough after start. engine shutdown when power tube,"started aircraft, verified engine runs very rough. number 3 egt warmed up."
100200,engine runs rough after start. engine shutdown when power tube,performed service instruction 388 c on all 4 cylinders. reamed exhaust valve
100201,"lacing cord loose on scat tubing plus ignition lead to frame, right-hand service instruction",replaced both lacings.
100202,all rocker cover screws are loose on left-hand engine.,tightened all screws.
100203,number 2 intake leaking on right-hand engine.,removed and replaced number 2 intake gasket on right-hand engine.
100204,"intakes 2, number and 4 leaking on left-hand engine.","removed and replaced intake gasket 2, 3 and 4 on left-hand engine"
100205,rocker covers 2 and 4 leaking on right-hand engine.,removed and replaced number 2 and number 4 rocker cover gaskets on right-hand engine
100206,"on right engine start, engine ran very rough.","removed and replaced number 3 cylinder assembly. reamed 1, 2, and 4 exhaust"
100207,"on right engine start, engine ran very rough.","ran engine, number 3 cylinder no egt. pulled propeller through 4 compressions"
100208,number 2 intake is leaking.,removed and replaced intake gaskets.
100209,cylinder number 2 intake gasket is leaking.,removed and replaced cylinder number 2 intake gasket.
100210,cylinder number 2 and number 3 rocker covers leaking.,removed and replaced cylinder number 2 and number 3 rocker cover gaskets.
100211,cylinder number 3 aft baffle inboard screw bracket rivets are sheared off.,"removed cylinder number 3 aft baffle, replaced broken fasteners"
100212,number 3 rocker cover leaking.,removed and replaced rocker cover with new.
100213,number 2 and number 4 rocker cover gaskets leaking.,removed and replaced gaskets.
100214,right-hand engine number 2 intake is leaking.,removed and replaced gasket.
100215,left-hand engine number 4 rocker cover gasket leaking.,removed and replaced gasket.
100216,"right-hand engine, all 4 rocker cover gaskets seeping.",removed and replaced all gaskets.
100217,right-hand rear engine baffle screw missing.,installed new screw.
100218,rocker box cover screws loose all cylinders.,retorqued screws.
100219,induction tube hose clamps loose all cylinders.,tightened hose clamps.
100220,number 2 intake leaking.,removed and replaced number 2 intake gasket.
100221,number 4 rocker cover is leaking.,removed and replaced rocker cover gasket.
100222,induction tube hose clamps loose all cylinder.,tightened hose clamps.
100223,number 2 and 4 rocker box cover screws loose.,retorqued number 2 and number 4 rocker box cover screws.
100224,"left,hand engine number 1 intake leaking.",removed and replaced left-hand number 1 intake gasket.
100225,right-hand engine number 2 and number 1 intake leaking.,removed and replaced right-hand engine intake gaskets 1 and 2.
100226,right-hand forward upper baffle seal is loose.,replaced baffle seal.
100227,number 4 rocker cover is leaking.,removed and replaced gasket.
100228,rocker box cover screws loose.,retorque rocker box cover screws.
100229,number 4 rocker gasket leaking.,replaced rocker gasket.
100230,number 2 rocker cover is leaking.,removed and replaced rocker cover gasket.
100231,number 4 cylinder has no compression.,"installed new gasket, leak check good."
100232,number 4 cylinder has no compression.,"inspected valves, found no defects. ran aircraft and rechecked"
100233,screw missing on number 3 baffle.,replaced screw.
100234,number 2 rocker cover is leaking.,replaced gasket.
100235,induction tube hose clamps loose.,tightened hose clamps.
100236,right-hand engine cylinder number 3 intake is leaking.,replaced intake gasket.
100237,"left,hand engine number 4 induction tube gasket leaking.",replaced intake gasket.
100238,left-hand engine cylinder number 1 forward baffle seal is loose.,resecured number 1 forward baffle seal.
100239,"left-hand engine number 1, 2 and 3 rocker box covers leaking.",replaced rocker cover gaskets.
100240,right-hand engine number 2 intake tube gasket is leaking.,installed new number 2 intake tube gasket.
100241,right-hand engine all rocker cover gaskets leaking.,installed new right-hand engine rocker box cover gaskets.
100242,aft baffle bracket rivets sheared.,resecured baffle bracket.
100243,number 3 aft baffle is worn through at inboard cylinder wrap.,removed worn piece. fabricated replacement from like material
100244,front right-hand baffle side has a crack by screw.,stop drilled crack.
100245,front right-hand baffle worn through from muffler shroud.,removed baffle.
100246,front right-hand baffle worn through from muffler shroud.,fabricated patch with like materials. riveted in accordance with reference manual
100247,"numbers 2, 3 and 4 rocker gaskets leaking.","replaced numbers 2, 3 and 4 rocker gaskets. leak check good."
100248,number 3 aft baffle cracked in several places.,installed new baffle.
100249,number 3 aft baffle cracked in several places.,removed right-hand rear baffle.
100250,screw missing in number 4 rocker cover.,installed and torqued new screw in number 4 rocker box cover.
100251,number 2 intake is leaking.,replaced gasket.
100252,bracket securing oil line to number 2 cylinder broken.,removed and replaced bracket.
100253,remove engine to facilitate firewall repair.,removed engine to facilitate repair by odegaard wings.
100254,remove engine to facilitate firewall repair.,reinstalled engine in accordance with maintenance manual
100255,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
100256,number 2 and number 4 rocker covers are leaking.,removed and replaced gaskets.
100257,"doing max perform takeoff at 3200, manifold pressure won't go any higher than 24",requires maintenance flight to verify discrepancy
100258,"rocker cover gaskets 1, 3 and 4 leaking.","removed and replaced rocker cover gaskets 1, 3 and 4."
100259,number 2 and number 4 cylinder rocker cover gaskets leaking.,removed and replaced number 2 and number 4 gaskets.
100260,"numbers 1, 2 and 3 rocker box cover screws loose.",tightened screws.
100261,number 1 and number 3 rocker covers leaking.,removed and replaced number 1 and number 3 rocker cover gaskets.
100262,rocker box cover screws loose all cylinder.,tightened screws.
100263,induction tube hose clamps loose all cylinder.,tightened hose clamps.
100264,number 3 intake leaking at clamp.,readjusted and tightened clamp.
100265,number 2 intake gasket leaking.,removed and replaced intake gasket with new.
100266,"rivet pulled through baffle seal, number 1 cylinder.",removed old rivet and installed new rivet.
100267,number 3 rocker cover leaking.,removed and replaced gasket.
100268,left-hand engine inboard baffle interconnect rod broken.,removed and replaced baffle interconnect rod.
100269,number 2 induction tube hose clamp broken.,installed new hose clamp.
100270,"number 1, 2, and 3 cylinder intake gaskets leaking.",installed new intake gaskets.
100271,number 4 rocker cover is leaking.,removed and replaced number 4 rocker cover gasket.
100272,"aft right, hand baffle has missing rivet.",removed and replaced rivet.
100273,number 2 and number 4 rocker covers leaking.,removed and replaced number 2 and number 4 rocker cover gaskets.
100274,ring gear has too many damaged teeth.,removed propeller and installed serviceable ring gear assembly.
100275,number 3 cylinder oil return line been chafing on wire bundle.,leak check good.
100276,number 3 cylinder oil return line been chafing on wire bundle.,removed and replaced oil return line.
100277,right-hand side back baffle is cracked and bracket rivets broken.,removed right-hand side baffle off engine.
100278,right-hand side back baffle is cracked and bracket rivets broken.,replaced baffle with serviceable baffle.
100279,number 1 rocker cover leaking.,removed and replaced rocker cover gasket.
100280,right-hand engine cylinder number 3 aft baffle is cracked.,stop drilled crack in right-hand engine number 3 aft baffle.
100281,left-hand engine cylinder number 4 aft baffle stiffener is cracked.,removed and replaced cracked stiffener.
100282,cylinder number 2 and number 3 intakes are leaking.,removed and replaced cylinder number 2 and number 3 intake gaskets.
100283,"right, hand forward upper baffle seal needs to be resecured.",installed pop rivet to resecure right-hand forward baffle seal.
100284,number 1 intake is leaking.,removed and replaced number 1 intake gasket.
100285,rocker covers 2 and 3 leaking.,removed and replaced rocker cover gaskets 2 and 3.
100286,number 2 induction tube gasket leaking.,installed new number 2 induction tube gasket.
100287,number 2 and number 3 rocker box cover gaskets leaking.,installed new rocker box cover gaskets.
100288,"during entry to 180 degree autorotation, when collective lowered to 180 degree autorotation, when collective lowered","inspected throttle linkage, collective linkage, no discrepancy"
100289,"cap screw missing, left-hand engine number 4 baffle.",installed new screw.
100290,number 4 rocker cover leaking.,removed and replaced number 4 rocker cover gasket.
100291,all rocker covers have loose screws.,tightened all covers.
100292,right-hand engine number 3 intake leaking.,removed and replaced number 3 intake gasket with new.
100293,hardware missing on right-hand engine number 4 rocker cover.,installed new screw into number 4 rocker cover.
100294,number 4 intake gasket leaking.,replaced gasket.
100295,right engine number 2 rocker cover leaking.,removed and replaced number 2 rocker cover.
100296,number 1 and number 3 rocker box cover screws loose.,tightened screws.
100297,number 2 and number 4 induction tube gaskets leaking.,installed new number 2 and number 4 induction tube gaskets.
100298,all screws for rocker covers are loose.,tightened all screws.
100299,number 1 and number 4 intakes leaking.,removed and replaced intake gaskets 1 and 4.
100300,induction tube hose clamps loose all cylinders.,tightened hose clamps.
100301,right-hand rear baffle mounting screw loose.,tightened right-hand rear baffle mounting screw.
100302,"left,hand baffle plug missing.",installed patch fabricated out of like material. installed patch fabricated out of like material.
100303,number 3 intake leaking.,removed and replaced number 3 intake gasket.
100304,engine inspection panel missing screw,reinstalled screw
100305,number 1 rocker cover is leaking.,removed and replaced rocker cover gasket.
100306,cylinder number 2 and number 3 intakes are leaking.,replaced cylinder number 2 and number 3 intake gaskets.
100307,number 2 intake gasket leaking.,removed and replaced intake gasket with new.
100308,"numbers 2, 3 and 4 rocker box cover screws loose.",tightened screws.
100309,starter ring gear missing teeth.,removed and replaced starter ring gear. resafety wired propeller
100310,number 2 and number 4 intake gaskets leaking.,removed and replaced number 2 and number 4 intake gaskets with new.
100311,both baffle plugs worn.,replaced both baffle plugs.
100312,number 1 rocker leaking.,removed and replaced number 1 rocker cover gasket.
100313,right-hand forward baffle missing screw.,installed new screw.
100314,oil psi switch wiring grommet is missing.,installed new grommet.
100315,number 4 intake leaking.,replaced gasket.
100316,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
100317,rocker covers 2 and 3 leaking.,removed and replaced number 2 and number 3 rocker cover gaskets.
100318,"back left, hand top baffle is cracked.","fabricated patch, installed patch. rivet in accordance with standard reference material"
100319,"left,hand forward engine baffle cracked.","stop drilled crack, fabricated patch. riveted in accordance with reference manual"
100320,left-hand and right-hand spark plug through hole plugs need to be replaced.,installed new engine baffle button plugs.
100321,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
100322,"left,hand forward engine baffle blast tube blocked",removed blockage
100323,right-hand engine 2 and 3 intakes leaking.,replaced number 2 and number 3 intake gaskets.
100324,number 3 rocker cover leaking on right-hand engine.,replaced number 3 rocker cover gasket.
100325,"left, hand engine intakes 1, 2 and 4 leaking.","removed and replaced 1, 2 and 4 intake gaskets with new."
100326,number 2 intake is leaking.,removed and replaced intake gasket.
100327,"right, hand baffle plug needs to be changed.",removed and replaced baffle plug.
100328,number 3 intake is leaking.,removed and replaced number 3 intake gasket.
100329,"left,hand bottom baffle wire holder is broken.","removed and replaced lower left, hand baffle tie rod."
100330,number 4 cylinder intake gasket leaking.,removed and replaced intake gasket.
100331,spark plug baffle plug is worn.,installed new baffle plug.
100332,number 2 intake is leaking.,removed and replaced intake gasket. cleaned fuel stains
100333,number 3 rocker cover gasket leaking.,removed and replaced gasket.
100334,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
100335,"number 2 cylinder, left engine intake is leaking.",removed and replaced number 2 intake gasket.
100336,right-hand engine number 4 cylinder intake gasket is leaking.,replaced gasket.
100337,right-hand engine number 1 cylinder side baffle seal is torn.,removed and replaced seal.
100338,right-hand engine number 3 cylinder aft baffle seal is out of place.,resecured baffle seal.
100339,"left,hand side baffle cracked.","patched with like material. riveting in accordance with, chapter"
100340,"left, hand deflector baffle is cracked.","patched with like material. riveting in accordance with, chapter"
100341,number 2 and number 4 rocker covers are leaking.,replaced rocker cover gaskets.
100342,engine baffle buttons worn.,removed old baffle buttons and installed new ones on left-hand
100343,number 4 intake gasket is leaking.,replaced gasket.
100344,lower right baffle spring is broken.,replaced with new baffle spring.
100345,"right, hand back baffle bracket screws are loose.","removed baffle, installed new bracket screws and reinstalled baffle"
100346,both baffle plugs bad.,removed and replaced both baffle plugs.
100347,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
100348,number 3 rocker cover leaking.,removed and replaced number 3 rocker cover gasket.
100349,cylinder number 3 back baffle screw missing.,installed cylinder number 3 back baffle screw.
100350,spiral wrap on rocker oil return lines number 1 and number 3 requires replacement,removed and replaced spiral wrap on rocker return lines number 3
100351,left-hand engine rocker box cover screws loose.,tightened down screws.
100352,right-hand engine rocker box cover screws loose.,tightened down screws.
100353,right-hand engine number 2 intake gasket leaks.,removed and replaced intake gasket.
100354,number 4 induction tube gasket leaking.,replaced number 4 induction tube gasket.
100355,number 2 and number 4 rocker box cover gaskets leaking.,replaced number 2 and number 4 rocker cover gaskets
100356,number 1 intake gasket leaking.,removed and replaced number 1 intake gasket with new.
100357,number 4 rocker cover leaking.,removed and replaced number 4 rocker cover gasket with new.
100358,number 1 intake is leaking.,removed and replaced intake tube.
100359,engine baffle plug missing.,installed new baffle plug on left-hand side of engine.
100360,cylinder number 1 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
100361,number 2 intake is leaking.,removed and replaced intake gasket.
100362,cylinder number 2 rocker cover leaking.,removed and replaced rocker cover gasket.
100363,right-hand engine number 3 and number 2 intakes leaking.,removed and replaced gasket.
100364,right-hand engine number 3 rocker cover is leaking.,removed and replaced gasket.
100365,number 2 and number 3 intakes on left-hand engine are leaking.,replaced number 2 and number 3 intake gaskets on left-hand engine.
100366,number 2 cylinder intake gasket leaking.,removed and replaced gasket.
100367,number 2 cylinder inner intake push rod seal leaking.,replaced inner and outer push rod tube seals and rocker cover
