ident,text,items,faults,actions
100025,"number 1 intake gasket leaking . removed intake tube , found tube to be cracked . removed",intake gasket; intake tube; tube,cracked; leaking,removed
100026,induction tube hose clamps loose all cyls . tightened hose clamps .,induction tube; hose clamps,loose,tightened
100027,right-hand magneto blast tube fell off . removed right-hand aft baffle to facilitate repair . fabricated,magneto blast tube; baffle,fell off,removed; repair; fabricated
100028,"on start up , engine began to run rough . ran engine at 1200 rp . inspected cylinder 1 , 2 and 4 in accordance with - checked ok . removed",engine; cylinder,run rough,ran; inspected; checked; removed
100029,"on start up , engine began to run rough . ran engine at 1200 rp . performed compression check , cylinder number 3 indicated zero psi .",engine; cylinder,run rough,ran; compression check
100030,"on start up , engine began to run rough . ran engine at 1200 rp . completed baffle install , oil filler tube , spark plugs .",engine; baffle; oil filler tube; spark plugs,run rough,ran; install
100031,number 4 rocker cover gasket leaking . replaced gasket .,rocker cover gasket; gasket,leaking,replaced
100032,right engine number 4 air baffle is cracked . removed and replaced number 4 air baffle .,engine; air baffle,cracked,removed; replaced
100033,right-hand engine forward alternator attach bolt loose . secured alternator attach bolt and resafetied .,engine; alternator; attach bolt,loose,secured; resafetied
100034,left-hand engine number 4 aft baffle cracked in multiple places . replaced baffle assembly .,engine; baffle; baffle assembly,cracked,replaced
100035,"right engine , all valve covers are leaking . removed and replaced all rocker gaskets .",engine; valve covers; rocker gaskets,leaking,removed; replaced
100036,left-hand engine all 4 rocker cover gaskets leaking . replaced all rocker cover gaskets .,engine; rocker cover gaskets,leaking,replaced
100037,"left-hand engine number 2 intake leaking . removed tube , found to be cracked . removed tube from co",engine; intake; tube,cracked; leaking,removed
100038,"in flight , engine became rough . discovered right magneto inoperable . e . ran aircraft , mags check good . power and leak check good .",engine; magneto; aircraft,inoperable; became rough,ran; mags check; power and leak check
100039,"in flight , engine became rough . discovered right magneto inoperable . e . removed number 3 cylinder , disconnected fuel distributor line to g",engine; magneto; cylinder; fuel distributor line,inoperable; became rough,removed; disconnected
100040,"in flight , engine became rough . discovered right magneto inoperable . e . reassembled engine , number 3 cylinder dry tappet clearance check g",engine; magneto; cylinder,inoperable; became rough,reassembled; dry tappet clearance check
100041,number 4 intake leaking . removed and replaced number 4 intake gasket .,intake; intake gasket,leaking,removed; replaced
100042,number 3 rocker cover gasket leaking . removed and replaced number 3 rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
100043,top left-hand baffle has a crack . stop drilled crack .,baffle,crack,stop drilled
100044,oil dipstick oil stick is loose . removed and replaced dipstick .,oil dipstick oil stick; oil stick; dipstick,loose,removed; replaced
100045,number 3 brake missing screw . replaced screw .,brake; screw,missing,replaced
100046,baffle seals on right-hand side are torn . applied silicone to torn areas .,baffle seals; silicone,torn,applied
100047,number 2 and 4 rocker covers are leaking . removed and replaced number 2 and 4 rocker cover gaskets .,rocker covers; rocker cover gaskets,leaking,removed; replaced
100048,number 3 aft baffle bracket loose . removed and replaced missing rivets with screws and nuts .,baffle bracket; rivets; screws; nuts,loose; missing,removed; replaced
100049,number 4 cylinder rocker cover is leaking . removed and replaced gasket .,cylinder; rocker cover; gasket,leaking,removed; replaced
100050,"number 1 , 2 , and 6 cowl mounts are torn . removed and replaced mounts .",cowl mounts; mounts,torn,removed; replaced
100051,number 4 intake leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
100052,number 2 and 4 rocker covers leaking . removed and replaced gaskets .,rocker covers; gaskets,leaking,removed; replaced
100053,number 4 intake is leaking . replaced gasket and inspected intake tube .,intake; gasket; intake tube,leaking,replaced; inspected
100054,"during idle check on run up , engine quit . restart engine . adjusted idle setting , idle indicating 650 rpm during r",engine,quit,restart; adjusted
100055,left-hand baffle plug worn . removed and replaced plug .,baffle plug; plug,worn,removed; replaced
100056,number 1 rocker cover leaking . removed and replaced gasket .,rocker cover; gasket,leaking,removed; replaced
100057,left-hand engine number 2 and 4 side baffle seals loose . secured seals .,engine; baffle seals; seals,loose,secured
100058,right-hand engine number 3 aft baffle seal is loose . secured baffle seal .,engine; baffle seal,loose,secured
100059,number 3 rocker cover gasket torn . removed and replaced number 3 rocker cover gasket .,rocker cover gasket,torn,removed; replaced
100060,number 4 rocker cover gasket torn . removed and replaced number 4 rocker cover gasket .,rocker cover gasket,torn,removed; replaced
100061,number 1 rocker cover gasket leaking . removed and replaced rocker cover with new .,rocker cover gasket; rocker cover,leaking,removed; replaced
100062,during ground run pilot noticed high oil pressure engine . adjusted engine oil pressure relief valve .,oil pressure engine; engine; oil pressure relief valve,,adjusted
100063,"during ground run pilot noticed high oil pressure engine . aircraft was ground ran to full power , oil pressure checked ok .",engine; aircraft,high,ground ran; checked
100064,student couldn ' t start aircraft . started aircraft for student .,aircraft,,started
100065,"vacuum tube and oil cooler line are rubbing together . moved adel clamp and applied 2 zip ties , no defects noted",vacuum tube; oil cooler line; adel clamp; 2 zip ties,rubbing together,moved; applied
100066,"after landing , aircraft idle at 970 rpm . adjusted idle setting by lowering . idle setting within ma",aircraft,,adjusted
100067,fuel pressure 32 - 33 with jumps into red . cleaned transducer ground path . fuel pressure checked good,transducer ground path,jumps into red,cleaned; fuel pressure checked
100068,right-hand engine number 2 intake leaks . replaced gasket .,engine; intake; gasket,leaks,replaced
100069,left-hand engine number 4 cylinder baffle cracked . stop drilled crack .,engine; cylinder; baffle,cracked; crack,stop drilled
100070,right-hand engine number 4 cylinder baffle cracked . stop drilled crack .,engine; cylinder; baffle,cracked; crack,stop drilled
100071,"last daily shutdown idle over ride speed check - engine rpm . ran aircraft , adjusted idle speed . checks good .",engine; aircraft,,idle over ride speed check; ran; adjusted; checks
100072,number 2 and 4 side baffle brace broken . fabricated brace from like material and installed .,baffle brace; brace; like material,broken,fabricated; installed
100073,number 4 cylinder intake gasket is leaking . removed and replaced gasket .,cylinder; intake gasket; gasket,leaking,removed; replaced
100074,number 4 rocker box cover gasket leaking . removed and replaced rocker cover gasket .,rocker box cover gasket; rocker cover gasket,leaking,removed; replaced
100075,baffle plug hole worn . installed patch and new plug .,baffle plug hole; patch; plug,worn,installed
100076,"engine started running rough and vibrating a lot . ran aircraft , operations and leak check good .",engine; aircraft,started running rough; vibrating,ran; operations; leak check
100077,engine started running rough and vibrating a lot . ran aircraft . confirmed discrepancy . found number 3 cylinder had very l,engine; aircraft; cylinder,started running rough; vibrating,ran; confirmed
100078,engine started running rough and vibrating a lot . completed reassembly of number 3 cylinder assembly . installed new inta,engine; cylinder assembly,started running rough; vibrating,completed reassembly; installed
100079,engine started running rough and vibrating a lot . removed number 3 cylinder . installed serviceable cylinder assembly . torqued,engine; cylinder; cylinder assembly,started running rough; vibrating,removed; installed; torqued
100080,"engine started running rough and vibrating a lot . disassembled number 1 , 2 , 4 exhaust valves , reamed guides in accordance with",engine; exhaust valves,started running rough; vibrating,disassembled; reamed
100081,number 2 intake leaks . replaced gasket .,intake; gasket,leaks,replaced
100082,number 4 intake leaks . replaced gasket .,intake; gasket,leaks,replaced
100083,number 3 intake tube gasket is leaking . replaced gasket .,intake tube gasket; gasket,leaking,replaced
100084,number 3 and 4 rocker cover gaskets are leaking . replaced gaskets .,rocker cover gaskets; gaskets,leaking,replaced
100085,"engine would not start . started engine , leaned mixture to clean spark plugs . ma",engine; spark plugs,would not start,started; leaned; leaned mixture
100086,number 2 intake is leaking . removed and replaced number 2 intake gasket .,intake; intake gasket,leaking,removed; replaced
100087,"top front right-hand baffle , baffle seal rivet pulled through . drilled out rivet and installed screw and nut to attach right-hand",baffle; baffle seal rivet; rivet; screw; nut,pulled through,drilled out; installed
100088,rocker box cover screws loose . tightened screws .,rocker box cover screws; screws,loose,tightened
100089,number 2 induction tube gasket leaking . removed and replaced number 2 induction tube gasket .,induction tube gasket,leaking,removed; replaced
100090,number 2 and 4 rocker covers are leaking . removed and replaced gaskets .,rocker covers; gaskets,leaking,removed; replaced
100091,number 1 intake leaking . removed and replaced number 1 intake gasket with new .,intake; intake gasket,leaking,removed; replaced
100092,number 3 and 4 rocker covers leaking . removed and replaced number 3 and 4 rocker cover gaskets with new .,rocker covers; rocker cover gaskets,leaking,removed; replaced
100093,number 1 rocker cover is leaking . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100094,left-hand engine number 4 cylinder intake gasket is leaking . removed and replaced number 4 intake gasket with new .,engine; cylinder; intake gasket,leaking,removed; replaced
100095,rocker box cover screws loose . tightened screws .,rocker box cover screws; screws,loose,tightened
100096,number 4 rocker cover leaking . removed and replaced number 4 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100097,number 2 oil return line hose clamp is loose . tightened hose clamp .,oil return line; hose clamp,loose,tightened
100098,rough running engine on start . engine ran smoother as it war . finished reaming all 4 exhaust valve guides . installed,engine; exhaust valve guides,rough running,finished reaming; installed
100099,"rough running engine on start . engine ran smoother as it war . removed cowling , removed all spark plugs . reamed number 3 exhaust",engine; cowling; spark plugs; exhaust,rough running,removed; reamed
100100,number 3 rocker cover is leaking . removed and replaced gasket .,rocker cover; gasket,leaking,removed; replaced
100101,"oil found on entire right side of fuselage . removed cowling , cleaned engine , performed engine run u",oil; fuselage; cowling; engine,,removed; cleaned
100102,right-hand engine number 4 cylinder baffle bolt missing . installed new bolt .,engine; cylinder; baffle bolt; bolt,missing,installed
100103,"right-hand engine number 1 and 4 rocker covers leaking . removed and replaced right-hand rocker cover gaskets , 1 and 4 .",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
100104,"left-hand engine number 1 and 3 rocker covers leaking . removed and replaced left-hand engine rocker cover gaskets , 1 and",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
100105,engine died during magneto check . started aircraft using flooded start procedure and ran aircraft to,engine; aircraft,died,started; ran
100106,number 3 rocker cover gasket leaking . removed and replaced number 3 rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
100107,"number 2 , 4 rocker cover gasket leaking . removed and replaced number 2 and 4 rocker cover gaskets .",rocker cover gasket; rocker cover gaskets,leaking,removed; replaced
100108,number 2 and 4 cylinder oil return line clamps loose . tightened clamps .,cylinder; oil return line; clamps,loose,tightened
100109,right-hand engine number 2 intake gasket leaking . removed and replaced gasket .,engine; intake gasket; gasket,leaking,removed; replaced
100110,baffle seals under both propeller governors are loose . resecured baffle seals .,baffle seals; propeller governors,loose,resecured
100111,left-hand engine number 4 aft baffle cracked in multiple places . installed repaired baffling .,engine; baffle; baffling,cracked,installed
100112,left-hand engine number 4 aft baffle cracked in multiple places . removed baffle and swapped accessories .,engine; baffle; accessories,cracked,removed; swapped
100113,number 2 intake is leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
100114,number 1 left-hand intake has large gouge . removed and replaced number 1 left-hand intake pipe with serviceable pi,intake; intake pipe,gouge,removed; replaced
100115,left-hand engine number 3 rocker cover leaking . removed and replaced left-hand engine number 3 rocker cover gasket .,engine; rocker cover; rocker cover gasket,leaking,removed; replaced
100116,number 2 cylinder has low compression . removed rocker cover and staked intake valve . passed comp,cylinder; rocker cover; intake valve,low,removed; staked
100117,number 4 rocker cover is leaking . replaced gasket .,rocker cover; gasket,leaking,replaced
100118,left-hand side of engine forward rubber seal loose . secured baffle seal .,engine; rubber seal; baffle seal,loose,secured
100119,number 1 and 3 rocker cover gaskets are leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
100120,right-hand baffle front side has a crack . stop drilled crack and fabricated patch with like material .,baffle; patch; like material,crack,stop drilled; fabricated
100121,cylinder number 4 intake is leaking . replaced intake gasket .,cylinder; intake; intake gasket,leaking,replaced
100122,number 2 intake is leaking . removed and replaced number 2 intake gasket .,intake; intake gasket,leaking,removed; replaced
100123,number 4 rocker cover is leaking . removed and replaced number 4 rocker gasket .,rocker cover; rocker gasket,leaking,removed; replaced
100124,right-hand engine number 4 cylinder intake gasket is leaking . installed new number 4 intake gasket .,engine; cylinder; intake gasket,leaking,installed
100125,screw is missing on number 3 cylinder baffle . installed new screw .,screw; cylinder; baffle,missing,installed
100126,right-hand front baffle seal loose . resecured right-hand front baffle seal .,baffle seal,loose,resecured
100127,"top back left-hand corner baffle is cracked . stop drilled crack , fabricated patch with like material .",corner baffle; patch; like material,cracked; crack,stop drilled; fabricated
100128,number 2 cylinder intake gasket is leaking . removed and replaced gasket .,cylinder; intake gasket; gasket,leaking,removed; replaced
100129,number 2 and 3 rocker cover gaskets are leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
100130,engine started running rough shortly after takeoff and landed . ran engine briefly and noted that engine was not running,engine,not running; started running rough shortly,ran
100131,"engine started running rough shortly after takeoff and landed . freed exhaust valve , inspected and found to be serviceabl",engine; exhaust valve,started running rough shortly,freed; inspected
100132,number 1 and 3 intakes leaking . removed and replaced number 1 and 3 rocker cover gaskets .,intakes; rocker cover gaskets,leaking,removed; replaced
100133,number 2 and 4 rocker cover leaking . removed and replaced rocker cover gaskets .,rocker cover; rocker cover gaskets,leaking,removed; replaced
100134,right-hand aft baffle mount rivets are sheared . disconnected lines and wires to remove baffle . removed ba,baffle mount; rivets; lines; wires; baffle,sheared,disconnected; remove; removed
100135,"cht needle bounces and had engine run rough momentarily . removed and replaced cht probe . insp engine , no defects n",cht needle; engine; cht probe,bounces; run rough momentarily,removed; replaced; insp
100136,noted wear on engine mount caused by engine breather support . operations and leak check good .,engine mount; engine breather support,wear,operations; leak check
100137,noted wear on engine mount caused by engine breather support . finished installation of engine .,engine mount; engine breather support; engine,wear,finished installation
100138,"noted wear on engine mount caused by engine breather support . removed engine . replaced engine mount , torqued engine m",engine mount; engine breather support; engine,wear,removed; replaced; torqued
100139,"left-hand engine number 2 , 3 and 4 intakes are leaking . replaced all 3 gaskets .",engine; intakes; gaskets,leaking,replaced
100140,left-hand engine number 3 rocker cover is leaking . removed and replaced gasket .,engine; rocker cover; gasket,leaking,removed; replaced
100141,right-hand engine number 2 and 4 rocker covers are leaking . replaced number 2 and 4 rocker covers .,engine; rocker covers,leaking,replaced
100142,right-hand engine number 3 and 4 intake tubes are leaking . replaced number 3 and 4 intake gaskets .,engine; intake tubes; intake gaskets,leaking,replaced
100143,"left-hand engine , left aft baffle angle bracket is cracked . removed brace , stop drilled crack . installed with large a",engine; baffle angle bracket; brace,cracked; crack,removed; stop drilled; installed
100144,rocker box cover screws loose . retorqued screws .,rocker box cover screws; screws,loose,
100145,number 2 rocker box cover gasket leaking . installed new number 2 rocker box cover gasket .,rocker box cover gasket,leaking,installed
100146,number 4 rocker cover gasket leaking . installed new number 4 rocker box cover gasket .,rocker cover gasket; rocker box cover gasket,leaking,installed
100147,left brake linings are worn out . replaced brake linings .,brake linings,worn,replaced
100148,right engine number 3 rocker cover is leaking . removed and replaced number 3 rocker cover .,engine; rocker cover,leaking,removed; replaced
100149,engine overspeed up to 3400 rpm at termination of an auto . leak check good .,engine,overspeed,leak check
100150,engine overspeed up to 3400 rpm at termination of an auto . began valve train overspeed insp .,engine; valve train,overspeed,overspeed insp
100151,engine overspeed up to 3400 rpm at termination of an auto . began engine overspeed insp in accordance with . identified and corr,engine,overspeed,identified
100152,engine overspeed up to 3400 rpm at termination of an auto . finished valve train overspeed insp . was complet,engine; valve train,overspeed,overspeed insp
100153,number 2 rocker cover gasket leaking . replaced gasket .,rocker cover gasket; gasket,leaking,replaced
100154,"number 2 cylinder has low compression . performed engine run up to operating temperatures , perf",cylinder; engine,low,run up
100155,number 2 rocker box cover screws loose . retorqued screws .,rocker box cover screws; screws,loose,
100156,number 3 baffle button plug bad . installed new button plug .,baffle button plug; button plug,bad,installed
100157,"right-hand engine rough in flight . ran aircraft , couldn ' t duplicate discrepancy . no defects noted d",engine; aircraft,rough,ran
100158,number 1 and 3 rocker covers are leaking . removed and replaced 1 and 3 rocker covers .,rocker covers,leaking,removed; replaced
100159,right-hand forward baffle seal loose . resecured baffle seal .,baffle seal,loose,resecured
100160,"while taxiing , engine quit . found number 4 intake was leaking . removed and replaced intake",engine; intake,quit; leaking,removed; replaced
100161,"right-hand engine , forward inboard baffle has small crack . stop drilled crack .",engine; baffle,crack,stop drilled
100162,"both engs , all rocker covers loose . tightened all screws for rocker covers .",engs; rocker covers; screws,loose,tightened
100163,left-hand engine needs to be removed to facilitate repair . operations and leak checked good .,engine,,removed; repair; operations and leak checked
100164,right-hand engine needs to be removed to facilitate repair . operations and leak checked good .,engine,,removed; repair; operations and leak checked
100165,right-hand engine needs to be removed to facilitate repair . installed right-hand engine to airframe .,engine; airframe,,removed; repair; installed
100166,right-hand engine needs to be removed to facilitate repair . finished installing nacelle wiring .,engine; nacelle wiring,,removed; repair; finished installing
100167,left-hand engine needs to be removed to facilitate repair . finished reinstall of nacelle wiring .,engine; nacelle wiring,,removed; repair; finished reinstall
100168,right-hand engine needs to be removed to facilitate repair . continued wiring and engine control installation .,engine,,removed; repair; continued wiring; control installation
100169,left-hand engine needs to be removed to facilitate repair . preserved cylinders . prepared engine for storage .,engine; cylinders,,removed; repair; preserved; prepared
100170,right-hand engine needs to be removed to facilitate repair . sealed control cable and electrical harness at firewall .,engine; control cable; electrical harness; firewall,,removed; repair; sealed
100171,"left-hand engine needs to be removed to facilitate repair . installed and timed magnetos . routed , connected wiring and",engine; magnetos; wiring,,removed; repair; installed; timed; routed; connected
100172,left-hand engine needs to be removed to facilitate repair . unpacked engine from pallet . installed engine assembly to a,engine; pallet; engine assembly,,removed; repair; unpacked; installed
100173,"left-hand engine needs to be removed to facilitate repair . ran wiring through firewall , ran cables through firewal",engine; firewall; cables; firewal,,removed; repair; ran
100174,"left-hand engine needs to be removed to facilitate repair . routed and secured wiring , fuel and oil lines , control cabl",engine; wiring; fuel and oil lines,,removed; repair; routed; secured
100175,left-hand engine needs to be removed to facilitate repair . sealed control cable and electrical harness at firewall . r,engine; control cable; electrical harness; firewall,,removed; repair; sealed
100176,"left-hand engine needs to be removed to facilitate repair . cleaned plugs , serviced oil . ran left-hand engine , all indica",engine; plugs; oil,,removed; repair; cleaned; serviced; ran
100177,"left-hand engine needs to be removed to facilitate repair . removed left engine , prop / moun t assembly .",engine; prop / moun t assembly,,removed; repair
100178,left-hand engine needs to be removed to facilitate repair . removed oil sump and accessory case . inspected in accordance with,engine; oil sump; accessory case,,removed; repair; inspected
100179,right-hand engine needs to be removed to facilitate repair . started wiring installation and control cable installatio,engine; control cable,,removed; repair; started wiring installation
100180,right-hand engine needs to be removed to facilitate repair . continued wiring and control cable routing . connected cow,engine; control cable; cow,,removed; repair; continued wiring; connected
100181,right-hand engine needs to be removed to facilitate repair . connected wiring and secured . attached and rigged engine co,engine; wiring,,removed; repair; connected; secured; attached; rigged
100182,"right-hand engine needs to be removed to facilitate repair . cleaned plugs , serviced oil . ran engine , all indication",engine; plugs; oil,,removed; repair; cleaned; serviced; ran
100183,right-hand engine needs to be removed to facilitate repair . removed right-hand engine / prop / moun t assembly . preserved cyls . pal,engine; engine / prop / moun t assembly; / prop / moun t assembly; cyls,,removed; repair; preserved
100184,remove engine to facilitate firewall repair . removed engine .,engine,,remove; firewall repair; removed
100185,reinstall engine after repair to firewall . installed engine after repair to firewall was completed,engine; firewall,,reinstall; installed
100186,reinstall engine after repair to firewall . firewall repaired by odegaard wings .,engine; firewall; odegaard wings,,reinstall; repaired
100187,number 2 and 4 intake gasket leaking . removed and replaced number 2 and 4 intake gaskets .,intake gasket; intake gaskets,leaking,removed; replaced
100188,number 2 intake leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
100189,number 3 rocker cover leaking . removed and replaced number 3 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100190,aft baffle screw loose . tightened baffle screw .,baffle screw,loose,tightened
100191,number 4 rear engine baffle cracked . stop drilled crack .,engine; baffle,cracked; crack,stop drilled
100192,induction tube hose clamps loose all cyls . tightened hose clamps .,induction tube; hose clamps,loose,tightened
100193,number 3 cylinder exhaust seal leaking . removed and replaced seal .,cylinder; exhaust seal; seal,leaking,removed; replaced
100194,felt on number 1 and 3 baffle coming loose . prepped area and applied sealant .,baffle; sealant,coming loose,prepped; applied
100195,engine baffle buttons worn . removed and replaced engine baffle buttons on left-hand and right-hand .,engine; baffle buttons,worn,removed; replaced
100196,missing screw on number 3 rocker cover . installed new screw .,screw; rocker cover,missing,installed
100197,number 2 and 4 intakes are leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
100198,number 2 rocker cover gasket leaking . removed and replaced rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
100199,"engine runs rough after start . engine shutdown when power t . started aircraft , verified engine runs very rough . number 3 egt wa",engine; aircraft; egt,runs rough; shutdown; runs very rough,started; verified
100200,engine runs rough after start . engine shutdown when power t . performed service instruction 388 c on all 4 cylinders . reamed exhaust va,engine; cylinders; exhaust va,runs rough; shutdown when,performed; reamed
100201,"lacing cord loose on scat tubing plus ignition lead to frame , right-hand service instruction . replaced both lacings .",lacing cord; scat tubing; ignition lead; frame; lacings,loose,replaced
100202,all rocker cover screws are loose on left-hand engine . tightened all screws .,rocker cover screws; engine; screws,loose,tightened
100203,number 2 intake leaking on right-hand engine . removed and replaced number 2 intake gasket on right-hand engine .,intake; engine; intake gasket,leaking,removed; replaced
100204,"intakes 2 , number and 4 leaking on left-hand engine . removed and replaced intake gasket 2 , 3 and 4 on left-hand engine",intakes; engine; intake gasket,leaking,removed; replaced
100205,rocker covers 2 and 4 leaking on right-hand engine . removed and replaced number 2 and 4 rocker cover gaskets on right-hand e,rocker covers; engine; rocker cover gaskets,leaking,removed; replaced
100206,"on right engine start , engine ran very rough . removed and replaced number 3 cylinder assembly . reamed 1 , 2 , 4 exhaust",engine; cylinder assembly; exhaust,ran very rough,removed; replaced; reamed
100207,"on right engine start , engine ran very rough . ran engine , number 3 cylinder no egt . pulled propeller through 4 compre",engine; cylinder; propeller,no egt; ran very rough,ran; pulled
100208,number 2 intake is leaking . removed and replaced intake gaskets .,intake; intake gaskets,leaking,removed; replaced
100209,cylinder number 2 intake gasket is leaking . removed and replaced cylinder number 2 intake gasket .,cylinder; intake gasket,leaking,removed; replaced
100210,cylinder number 2 and 3 rocker covers leaking . removed and replaced cylinder number 2 and 3 rocker cover gaskets .,cylinder; rocker covers; rocker cover gaskets,leaking,removed; replaced
100211,"cylinder number 3 aft baffle inboard screw bracket rivets are sheared off . removed cylinder number 3 aft baffle , replaced broken fasteners and",cylinder; baffle; screw bracket; rivets; fasteners,sheared; broken,removed; replaced
100212,number 3 rocker cover leaking . removed and replaced rocker cover with new .,rocker cover,leaking,removed; replaced
100213,number 2 and 4 rocker cover gaskets leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
100214,right-hand engine number 2 intake is leaking . removed and replaced gasket .,engine; intake; gasket,leaking,removed; replaced
100215,left-hand engine number 4 rocker cover gasket leaking . removed and replaced gasket .,engine; rocker cover gasket; gasket,leaking,removed; replaced
100216,"right-hand engine , all 4 rocker cover gaskets seeping . removed and replaced all gaskets .",engine; rocker cover gaskets; gaskets,seeping,removed; replaced
100217,right-hand rear engine baffle screw missing . installed new screw .,engine; baffle screw; screw,missing,installed
100218,rocker box cover screws loose all cyls . retorqued screws .,rocker box cover screws; cyls; screws,loose,
100219,induction tube hose clamps loose all cyls . tightened hose clamps .,induction tube; hose clamps,loose,tightened
100220,number 2 intake leaking . removed and replaced number 2 intake gasket .,intake; intake gasket,leaking,removed; replaced
100221,number 4 rocker cover is leaking . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100222,induction tube hose clamps loose all cylinder . tightened hose clamps .,induction tube; hose clamps; cylinder,loose,tightened
100223,number 2 and 4 rocker box cover screws loose . retorqued number 2 and 4 rocker box cover screws .,rocker box cover screws,loose,
100224,left-hand engine number 1 intake leaking . removed and replaced left-hand number 1 intake gasket .,engine; intake; intake gasket,leaking,removed; replaced
100225,right-hand engine number 2 and 1 intake leaking . removed and replaced right-hand engine intake gaskets 1 and 2 .,engine; intake; intake gaskets,leaking,removed; replaced
100226,right-hand forward upper baffle seal is loose . replaced baffle seal .,upper baffle seal; baffle seal,loose,replaced
100227,number 4 rocker cover is leaking . removed and replaced gasket .,rocker cover; gasket,leaking,removed; replaced
100228,rocker box cover screws loose . retorque rocker box cover screws .,rocker box cover screws,loose,
100229,number 4 rocker gasket leaking . replaced rocker gasket .,rocker gasket,leaking,replaced
100230,number 2 rocker cover is leaking . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100231,"number 4 cylinder has no compression . installed new gasket , leak check good .",cylinder; gasket,no compression,installed; leak check
100232,"number 4 cylinder has no compression . inspected valves , found no defects . ran aircraft and rechecked",cylinder; valves; aircraft,no compression,inspected; ran; rechecked
100233,screw missing on number 3 baffle . replaced screw .,screw; baffle,missing,replaced
100234,number 2 rocker cover is leaking . replaced gasket .,rocker cover; gasket,leaking,replaced
100235,induction tube hose clamps loose . tightened hose clamps .,induction tube; hose clamps,loose,tightened
