pair_id,query_id,query_problem,candidate_problem,problem_relevance_0_1_2,phase_a_notes
MR-0376fa0e90c8e719,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",LH/ TOP ENGINE BAFFLE SEAL LOOSE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus baffle seal defect."
MR-b3bd94c86a71feef,105029,#1 FWD BAFFLE SEAL LOOSE.,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP L/H SIDE.,1,"Same loose baffle seal, but cylinder-1 forward versus top L/H location differs materially."
MR-7e92428b2494076e,102823,#1 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,3)."
MR-1432d172bb2cfa6d,100727,REAR BAFFLE PLUGS WORN OUT.,TABS ARE WORN OFF OF BAFFLE PLUGS.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-5774ad5197c1e364,103087,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-f67b3c1bb5a6c21f,105116,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",L/H ENG CYL #2 FWD BAFFLE SEAL IS TORN.,1,"Same baffle seal defect, but engine side conflicts (right versus left)."
MR-201bdc3d133f4b7f,104071,"R/H ENG, R/H REAR BAFFLE IS CRACKED.","L/H ENG, L/H AFT BAFFLE CRACKED, SEVERAL PLACES.",1,"Same baffle crack, but engine side conflicts (right versus left)."
MR-69bca66201f77e11,105306,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3)."
MR-4215d64ce314ac41,101877,#3 INDUCTION TUBE GASKET LEAKING.,"CYL #1, 2, 4 INTAKE GASKETS LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3 versus 1,2,4)."
MR-95ead75113fedde3,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,"#3 AFT BAFFLE HAS A BROKEN BRACKET, BEHIND OIL FILLER TUBE.",0,Different core problems: carb-airbox fire versus broken component.
MR-914b9d0372d8562e,101410,REAR R/H ENGINE BAFFLE BRACKET CRACKED.,R/H ENGINE AFT I/B BAFFLE @ OIL COOLER CRACKED.,1,"Related maintenance area, but core problem differs: baffle bracket crack versus baffle crack."
MR-d23039878cd50203,103274,INTAKES #2 & 4 LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3)."
MR-2a833fcd5274c02d,101698,#4 INTAKE TUBE LOOSE.,#1 INTAKE TUBE DAMAGED.,1,"Same component area, but defect differs: loose versus damaged."
MR-9755910102d335ba,103598,L/H ENGINE BAFFLE CRACKED.,CRACK IN R/H AFT ENGINE BAFFLE.,1,"Same baffle crack, but engine side conflicts (left versus right)."
MR-910eedb7a965cb7d,103884,BAFFLE SCREW MISSING ABOVE STARTER.,CYL #2 BAFFLE SCREW MISSING L/H ENGINE.,1,"Same missing baffle screw, but above-starter versus L/H cylinder-2 location differs materially."
MR-33e1d6f1194ca376,102823,#1 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,3,4)."
MR-6e1ca9743bd08bc7,101930,#1 CYL HAS LOW COMPRESSION.,CYL #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.,1,"Same low cylinder compression, but the specified cylinder set conflicts (1 versus 2)."
MR-7c63633ca29b8017,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,"BAFFLE SEAL LOOSE ON LH/ ENG, #4 AFT BAFFLE.",0,Different core problems: rocker-cover loose screws versus baffle seal defect.
MR-0fde1e6c5a4a91cf,101116,"L/H ENG, #4 INDUCTION TUBE GASKET LEAKING.",L/H ENG #3 ROCKER COVER IS LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.
MR-3196521221de3dbc,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,#4 AFT BAFFLE MISSING SCREW.,1,"Same missing baffle hardware and cylinder, but side-baffle versus aft-baffle location is a material mismatch."
MR-c83a18661b866c8b,104264,#3 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,4)."
MR-8025823a2a716444,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",R/H REAR ENGINE BAFFLE MOUNT LOOSE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus loose hardware/component."
MR-0a782d0c5e25aa6a,100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,CYL #3 ROCKER DRAIN LINE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-a53e2d70aa447a79,104623,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,ADEL CLAMP TORN BY R/H ENGINE MOUNT.,0,Different core problems: crankshaft gouge versus other.
MR-be8f684c99204584,100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.",SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-a1d8cc93b6e77af9,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,1,"Related maintenance area, but core problem differs: engine-mount rust versus engine-mount wear."
MR-73b5081aba0f1f1b,105480,#1 & 3 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,3 versus 2,3,4)."
MR-c1ba98665c5444a8,104135,BAFFLE PLUG IS DAMAGED.,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction."
MR-92c512f95f0c34b1,103676,#4 CYL ROCKER COVER IS MISSING SCREW.,SCREW MISSING FROM L/H ENGINE #3 ROCKER COVER.,1,"Same rocker-cover missing screw, but the specified cylinder set conflicts (4 versus 3)."
MR-9473db85fb8351b2,102221,#1 INTAKE GASKET LEAKS.,#2 INTAKE GASKET IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 2)."
MR-91a9fee2f343c433,101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.","R/H ENG CYL #2, 3 & 4 INTAKE GASKETS ARE LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3,4)."
MR-7cce169edf76fb94,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,4)."
MR-642cf5d0b8c76fa3,101194,ROCKER BOX COVER SCREWS LOOSE.,"RIVET LOOSE AT BAFFLE, AFT CENTER.",0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-b55b1acbdf0a04df,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-279cdf02cb39ec18,100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,R/H ENG OIL COOLER BAFFLE CRACKED.,1,"Same cracked R/H engine baffle, but cylinder-4 air baffle versus oil-cooler baffle is a material component/location difference."
MR-8971ce683db226cf,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,ENGINE HESITATION/ROUGHNESS 30 SEC AFTER TAKEOFF. NO FURTHER,0,Different core problems: idle override speed versus other.
MR-b5f472c946ad114f,102952,AUTO RE-IGN DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,0,Different core problems: auto re-ignition failure versus low cylinder compression.
MR-2daf90c1c580e8b2,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,R/H MAG BLAST TUBE FELL OFF.,0,Different core problems: engine-mount rust versus other.
MR-0d8d249dff5c8ad3,105048,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-77d47c8ab1f03919,103656,OIL COOLERS DIRTY.,ENGINE IS DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-84a96e3dc844c373,104219,BOTH OIL COOLERS DIRTY.,"SEAL LOOSE ON ENGINE COWL, ABOVE L/H & R/H OIL COOLERS (BLAC",0,Different core problems: oil-cooler contamination versus cowl/engine seal loose.
MR-1f66de15f826421d,104471,"#1, 2, 4 INTAKES LEAKING.","INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,2,4 versus 2,3,4)."
MR-ce6fa289ccbd4e58,100636,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,R/H ENGINE #3 ROCKER COVER LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.
MR-75b4214964899359,100568,ENGINE BAFFLE PLUG TABS BROKEN.,R/H SIDE BAFFLE PLUG LOOSE W/ TABS BROKEN.,2,Same broken baffle-plug tabs; the candidate adds looseness without contradicting the shared defect.
MR-c560d0e503eb9199,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,L/H REAR ENGINE BAFFLE ACCESS HOLE WORN.,0,Different core problems: carb-airbox fire versus baffle worn hole.
MR-3c9ee195570ab70f,104031,#4 AFT BAFFLE CRACKED.,BAFFLE ABOVE CYL #1 IS CRACKED.,1,"Same baffle crack, but the specified cylinder set conflicts (4 versus 1)."
MR-9d2462391aaebd72,102952,AUTO RE-IGN DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.,LOW COMPRESSION ON CYL #3 (55).,0,Different core problems: auto re-ignition failure versus low cylinder compression.
MR-7bc2f460c4b9862b,100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.","BAFFLE SEAL LOOSE ON LH/ ENG, #4 AFT BAFFLE.",0,Different core problems: rocker-cover loose screws versus baffle seal defect.
MR-2c93ad28dc4c5c24,100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,FRONT & L/H ENGINE BAFFLE CRACKED.,1,"Same baffle crack, but the specified location conflicts (aft versus front)."
MR-991dfc0e859ed09e,103884,BAFFLE SCREW MISSING ABOVE STARTER.,#3 CYL SIDE BAFFLE SCREW MISSING.,1,"Same missing baffle screw, but above-starter versus cylinder-3 side-baffle location differs materially."
MR-cce0e14ef536cde5,100623,ROCKER BOX COVER SCREWS LOOSE.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,0,Different core problems: rocker-cover loose screws versus intake tube loose/damaged.
MR-59136df9a76135a2,106156,BAFFLE PLUG DAMAGED.,L/H BAFFLE PLUG WORN.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-47792f3ce0b61f9e,100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,TOP OIL COOLER HOSE KINKED & NOT SECURED.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-c3572dece682b10c,104031,#4 AFT BAFFLE CRACKED.,TOP BAFFLE IS CRACKED.,1,"Same cracked baffle, but cylinder-4 aft versus top-baffle location differs materially."
MR-650af413b118d5c9,104702,L/H ENG #2 CYL HAS LOW COMPRESSION.,R/H ENG #3 CYL HAS LOW COMPRESSION (16/80).,1,"Same low cylinder compression, but engine side conflicts (left versus right)."
MR-55f85bfa22c462aa,103656,OIL COOLERS DIRTY.,"SEAL LOOSE ON ENGINE COWL, ABOVE L/H & R/H OIL COOLERS (BLAC",0,Different core problems: oil-cooler contamination versus cowl/engine seal loose.
MR-8ec59762f378e770,100991,#2 INDUCTION TUBE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2 versus 1)."
MR-4bda38236940815e,101548,RIVNUT STRIPPED OUT ON FIREWALL FOR A/F FUEL FILTER.,GROUNDING POINTS ON ENG & FIREWALL LOOSE.,0,Different core problems: firewall fuel-filter rivnut versus loose hardware/component.
MR-a8a700cfcba2c4d3,102221,#1 INTAKE GASKET LEAKS.,#2 INTAKE GASKET LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 2)."
MR-b91268b1540b6c39,105480,#1 & 3 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,3 versus 2,4)."
MR-ec78869879b21df0,104157,#2 & 3 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 2,3,4)."
MR-79ac5c2748a269b8,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,ZIP TIES USED ON L/H & R/H ENGINE MOUNT IN PLACE OF LACING C,1,"Related maintenance area, but core problem differs: engine-mount rust versus engine-mount attachment."
MR-3006d315a7aca97b,103824,"#3, 4 & 1 INTAKES ARE LEAKING.","INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,3,4)."
MR-a00f8c6a0bcb78f4,102316,ENGINE AFT BAFFLE CYL #3 AREA HAS SHEARED RIVETS ON SUPPORT,"ENGINE BAFFLE ON #4 CYL, RIVETS SHEARED OFF.",1,"Same baffle sheared rivets, but the specified cylinder set conflicts (3 versus 4)."
MR-b661ed38451b463a,101898,#3 INDUCTION TUBE GASKET LEAKING.,"CYL #1, 2, 4 INTAKE GASKETS LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3 versus 1,2,4)."
MR-7c98589a1bffc249,100641,R/H ENG #2 & 4 INDUCTION TUBE GASKETS LEAKING.,R/H ENG #3 INTAKE IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 3)."
MR-c536049574d5c0d7,101980,"R/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",L/H ENG #3 INTAKE IS LEAKING.,0,Different core problems: rocker-cover gasket defect versus intake leak.
MR-fb06e5f807a1e4b7,105178,#1 ROCKER COVER GASKET LEAKS.,#1 ROCKER COVER GASKET IS LEAKING.,2,"Same core problem with compatible recorded component, defect, and context."
MR-8a4ec09209ef9ab5,104264,#3 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3)."
MR-64c165a8641cff55,105306,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-109d12506006005d,104582,#2 LOWER INTAKE CLAMP LOOSE.,L/H UPPER BAFFLE LOOSE ABOVE #2 CYLINDER.,0,Different core problems: intake clamp loose versus loose hardware/component.
MR-e4bc60ada659508c,100641,R/H ENG #2 & 4 INDUCTION TUBE GASKETS LEAKING.,L/H ENG #3 INTAKE IS LEAKING.,1,"Same intake leak, but engine side conflicts (right versus left)."
MR-8845d5fb91ba5bfe,102823,#1 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,4)."
MR-473aa1b58ddae234,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,R/H ENGINE TOP BACK BONE SEEPING OIL.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-5860df94cc20baaa,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,SIGNS OF OIL LEAKING FROM FWD ENGINE CASE BOLTS AT MAIN CRAN,2,"Same core problem; engine side and position are stated on only one side, without contradiction."
MR-a4b8aecd0778784d,100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 ROCKER COVER IS LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.
MR-018824b391911248,100716,R/H ENG CORNER BRACKET BY PROP CABLE IS CRACKED.,"L/H ENG BACK BAFFLE, BY #4 CYL, CRACKED.",0,Different core problems: structural crack versus baffle crack.
MR-67365c29d5acf0d5,103274,INTAKES #2 & 4 LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-f0e9787ccee54927,103796,1 BAFFLE BUTTON WORN.,R/H ENGINE #3 CYL EXHAUST ROCKER WORN ON SHAFT.,0,Different core problems: baffle plug defect versus wear.
MR-2c66f6700d0d25be,104157,#2 & 3 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 2,3,4)."
MR-a81dd6e93d1f208b,101744,BAFFLE BUTTON PLUG IS WORN.,"ENG FWD LWR BLACK SEAL HAS WORN SPOTS, ABOVE AIR INTAKE.",1,"Related maintenance area, but core problem differs: baffle plug defect versus cowl/engine seal wear."
MR-ea6ab91fd60c6fe2,100515,#3 ROCKER COVER GASKET IS TORN.,#4 ROCKER COVER GASKET LEAKING.,1,"Same component area, but defect differs: torn versus leaking."
MR-c2f74a01be061541,103656,OIL COOLERS DIRTY.,SNIFFLER VALVE DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-efc844a1cb0edeb4,104219,BOTH OIL COOLERS DIRTY.,SNIFFLER VALVES DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-c5f96a6a8fbdf67a,101371,AFT BAFFLE BRACKET MISSING SCREW.,#3 AFT BAFFLE SUPPORT BRACKET MISSING SCREW.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction."
MR-ecc560854e0cec02,100197,#2 & 4 INTAKES ARE LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-df71aaa91266e045,103598,L/H ENGINE BAFFLE CRACKED.,L/H ENGINE BAFFLE BY ROCKER COVERS CRACKED.,2,"Same core problem with compatible recorded component, defect, and context."
MR-e64a114a981364d5,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,CYL #4 INTAKE LEAKING.,0,Different core problems: carb-airbox fire versus intake leak.
MR-4b41703aa7476d62,100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 INTAKE IS LEAKING.,2,"Same core problem with compatible recorded component, defect, and context."
MR-753e3dc2c02ce220,103861,#4 INDUCTION TUBE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (4 versus 1)."
MR-57d4ab844cc0a29a,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",R/H ENGINE LWR FIRESEAL LOOSE.,1,"Both concern loose engine sealing, but foam bulkhead seal and lower fireseal identify materially different seals."
MR-9a6abba506a266cb,103623,FOUND BROKEN COVER SCREW ON GROUND.,#2 & 4 SIDE BAFFLE BRACE BROKEN.,0,Only the generic broken condition overlaps; a cover screw and a side-baffle brace are different maintenance problems.
MR-ea8744a9b8fe9403,100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,ENGINE REQUIRES OVERHAUL.,0,Different core problems: oil-cooler hose position versus other.
MR-bf9f3d940454f99f,100629,#2 INTAKE GASKET LEAKS.,#4 INTAKE GASKET IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2 versus 4)."
MR-6c446f068f90492f,100991,#2 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 & 4 CYL INTAKE GASKETS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2 versus 3,4)."
MR-c649749b3e3f77d1,105048,#2 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-92e959ad32ad7527,102381,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 INTAKE IS LEAKING.,2,"Same core problem with compatible recorded component, defect, and context."
MR-aada934c82403871,104219,BOTH OIL COOLERS DIRTY.,ENGINE IS DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-2bb8e0a05e6bf8a0,104135,BAFFLE PLUG IS DAMAGED.,BAFFLE PLUG WORN.,2,"Same core problem with compatible recorded component, defect, and context."
MR-93c92357f6886fcd,104621,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,R/H ENG FWD CYL #2 BAFFLE SEAL IS TORN.,0,Different core problems: crankshaft gouge versus baffle seal defect.
MR-df6870da7f616c99,100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.","RIVET LOOSE AT BAFFLE, AFT CENTER.",0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-0a0660ebc484c30f,105157,L/H #4 ROCKER COVER GASKET LEAKS.,R/H ENG #3 ROCKER COVER GASKET LEAKING.,1,"Same rocker-cover gasket defect, but engine side conflicts (left versus right)."
MR-a984c0a7bbfc2eb8,100081,#2 INTAKE LEAKS.,#2 CYL INTAKE LEAKING.,2,"Same core problem with compatible recorded component, defect, and context."
MR-6448dddfff16567e,102624,COWL SEAL BY #2 CYL NEEDS TO BE REATTCHED TO BAFFLING.,#2 CYL BOTTOM FRONT BAFFLING HAS A CRACK.,1,"Related maintenance area, but core problem differs: baffle seal defect versus baffle crack."
MR-077f6c83b2a85d87,100095,ROCKER BOX COVER SCREWS LOOSE.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,0,Different core problems: rocker-cover loose screws versus intake tube loose/damaged.
MR-c5138f56568fabe7,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,"OIL LEAK AT R/H ENGINE BACK BONE, AFT BOLT.",2,"Same core problem; position is stated on only one side, without contradiction."
MR-18ad6f7f43fb94e7,103598,L/H ENGINE BAFFLE CRACKED.,#3 AFT BAFFLE CRACKED ON R/H ENGINE.,1,"Same baffle crack, but engine side conflicts (left versus right)."
MR-2a1d7a17010b3e5c,100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,R/H ENG #3 INTAKE IS LEAKING.,1,"Same intake leak, but engine side conflicts (left versus right)."
MR-d16c43bb3745bd33,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,ENGINE IDLE OVERRIDE KILLED ENGINE.,1,"Related maintenance area, but core problem differs: idle override speed versus idle override behavior."
MR-4c3f38d2caad0b5b,100197,#2 & 4 INTAKES ARE LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-a565bcc575d11597,105480,#1 & 3 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,3 versus 2,4)."
MR-b99e5bd937aea47a,103145,INTAKES #1 & 2 LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,2 versus 2,3)."
MR-3a268d88b11f4b04,103824,"#3, 4 & 1 INTAKES ARE LEAKING.","INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,3,4)."
MR-37366b829bb64bc4,100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,"L/H ENG #4 CYL IS CRACKED, FOUND ON COMPRESSION TEST.",0,Different core problems: oil-cooler hose position versus structural crack.
MR-00e1bc9fd9045de7,104471,"#1, 2, 4 INTAKES LEAKING.",INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,2,4 versus 2,4)."
MR-507c22189151de9c,102316,ENGINE AFT BAFFLE CYL #3 AREA HAS SHEARED RIVETS ON SUPPORT,"ENGINE AFT BAFFLE, NEXT TO #3 CYL, HAS SHEARED RIVETS.",2,"Same core problem with compatible recorded component, defect, and context."
MR-184ed4ffa20d2ced,100727,REAR BAFFLE PLUGS WORN OUT.,BAFFLE PLUGS ARE WORN OUT.,2,"Same core problem; position is stated on only one side, without contradiction."
