ID,PROBLEM,ACTION,CLEANED,EDIT
100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENGINE NUMBER FOUR AIR BAFFLE IS CRACKED. REMOVED AND REPLACED NUMBER FOUR AIR BAFFLE.,
100033,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,RIGHT-HAND ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE. SECURED ALTERNATOR ATTACH BOLT AND RESAFETIED.,
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSEMBLY.,
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING. REMOVED AND REPLACED ALL ROCKER GASKETS.",
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,LEFT-HAND ENGINE ALL FOUR ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,
100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO","LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE",CUTOFF - T
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. RAN AIRCRAFT, MAGNETOS CHECK GOOD. POWER AND LEAK CHECK GOOD.",
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. REMOVED NUMBER THREE CYLINDER, DISCONNECTED FUEL DISTRIBUTOR LINE",CUTOFF - T
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. REASSEMBLED ENGINE, NUMBER THREE CYLINDER DRY TAPPET CLEARANCE CHECK GOOD",CUTOFF - C
100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,
100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,TOP LEFT-HAND BAFFLE HAS A CRACK. STOP DRILLED CRACK.,
100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE. REMOVED AND REPLACED DIPSTICK.,
100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,NUMBER THREE BRAKE MISSING SCREW. REPLACED SCREW.,
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON RIGHT-HAND SIDE ARE TORN. APPLIED SILICONE TO TORN AREAS.,
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS.,
100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,NUMBER THREE AFT BAFFLE BRACKET LOOSE. REMOVED AND REPLACED MISSING RIVETS WITH SCREWS AND NUTS.,
100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR CYLINDER ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.,"NUMBERS ONE, TWO AND SIX COWL MOUNTS ARE TORN. REMOVED AND REPLACED MOUNTS.",
100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED GASKETS.,
100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.,NUMBER FOUR INTAKE IS LEAKING. REPLACED GASKET AND INSPECTED INTAKE TUBE.,
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R","DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE. ADJUSTED IDLE SETTING, IDLE INDICATING SIX HUNDRED AND FIFTY RPM DURING RUN UP",CUTOFF - C
100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.,LEFT-HAND BAFFLE PLUG WORN. REMOVED AND REPLACED PLUG.,
100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,NUMBER ONE ROCKER COVER LEAKING. REMOVED AND REPLACED GASKET.,
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR SIDE BAFFLE SEALS LOOSE. SECURED SEALS.,
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.,RIGHT-HAND ENGINE NUMBER THREE AFT BAFFLE SEAL IS LOOSE. SECURED BAFFLE SEAL.,
100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER GASKET TORN. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER GASKET TORN. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,
100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER WITH NEW.,
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,"DURING GROUND RUN PILOT NOTICED HIGH OIL PRESSURE, ENGINE. ADJUSTED ENGINE OIL PRESSURE RELIEF VALVE.",PUNC - B
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.","DURING GROUND RUN PILOT NOTICED HIGH OIL PRESSURE, ENGINE. AIRCRAFT WAS GROUND RAN TO FULL POWER, OIL PRESSURE CHECKED OK.",PUNC - B
100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.,STUDENT COULDN'T START AIRCRAFT. STARTED AIRCRAFT FOR STUDENT.,
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED","VACUUM TUBE AND OIL COOLER LINE ARE RUBBING TOGETHER. MOVED CLAMP AND APPLIED TWO ZIP TIES, NO DEFECTS NOTED",
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,"AFTER LANDING, AIRCRAFT IDLE AT NINE HUNDRED AND SEVENTY RPM. ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING WITHIN MANUFACTURER'S LIMITS",CUTOFF - C
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,FUEL PRESSURE THIRTY TWO TO THIRTY THREE WITH JUMPS INTO RED. CLEANED TRANSDUCER GROUND PATH. FUEL PRESSURE CHECKED GOOD,
100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER TWO INTAKE LEAKS. REPLACED GASKET.,
100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE CRACKED. STOP DRILLED CRACK.,
100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE CRACKED. STOP DRILLED CRACK.,
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.","LAST DAILY SHUTDOWN IDLE OVERRIDE SPEED CHECK, ENGINE RPM. RAN AIRCRAFT, ADJUSTED IDLE SPEED. CHECKS GOOD.",PUNC - D
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,NUMBER TWO AND NUMBER FOUR SIDE BAFFLE BRACE BROKEN. FABRICATED BRACE FROM LIKE MATERIAL AND INSTALLED.,
100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER FOUR ROCKER BOX COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.,BAFFLE PLUG HOLE WORN. INSTALLED PATCH AND NEW PLUG.,
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD.","ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT. RAN AIRCRAFT, OPERATIONS AND LEAK CHECK GOOD.",
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT. RAN AIRCRAFT. CONFIRMED DISCREPANCY. FOUND NUMBER THREE CYLINDER HAD VERY LOW COMPRESSION,CUTOFF - C
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT. COMPLETED REASSEMBLY OF NUMBER THREE CYLINDER ASSEMBLY. INSTALLED NEW INTAKE VALVE,CUTOFF - C
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT. REMOVED NUMBER THREE CYLINDER. INSTALLED SERVICEABLE CYLINDER ASSEMBLY.,CUTOFF - T
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW","ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT. DISASSEMBLED NUMBERS ONE, TWO AND FOUR EXHAUST VALVES, REAMED GUIDES IN ACCORDANCE WITH REFERENCE MANUAL",ANON
100081,#2 INTAKE LEAKS.,REPLACED GASKET.,NUMBER TWO INTAKE LEAKS. REPLACED GASKET.,
100082,#4 INTAKE LEAKS.,REPLACED GASKET.,NUMBER FOUR INTAKE LEAKS. REPLACED GASKET.,
100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.,NUMBER THREE INTAKE TUBE GASKET IS LEAKING. REPLACED GASKET.,
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS ARE LEAKING. REPLACED GASKETS.,
100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA","ENGINE WOULD NOT START. STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS.",CUTOFF - T
100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,"TOP FRONT RIGHT-HAND BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH. DRILLED OUT RIVET AND INSTALLED SCREW AND NUT TO ATTACH RIGHT-HAND",
100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,
100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,NUMBER TWO INDUCTION TUBE GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO INDUCTION TUBE GASKET.,
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,NUMBER ONE INTAKE LEAKING. REMOVED AND REPLACED NUMBER ONE INTAKE GASKET WITH NEW.,
100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,NUMBER THREE AND NUMBER FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS WITH NEW.,
100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER ONE ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET WITH NEW.,
100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,
100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.,NUMBER TWO OIL RETURN LINE HOSE CLAMP IS LOOSE. TIGHTENED HOSE CLAMP.,
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WARMED UP. FINISHED REAMING ALL FOUR EXHAUST VALVE GUIDES.,"CUTOFF - C, CUTOFF - T"
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH","ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WARMED UP. REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED NUMBER THREE EXHAUST VALVE GUIDE",CUTOFF - C
100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U","OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE. REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN UP",CUTOFF - C
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE BOLT MISSING. INSTALLED NEW BOLT.,
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.","RIGHT-HAND ENGINE NUMBER ONE AND NUMBER FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED RIGHT-HAND ROCKER COVER GASKETS, ONE AND FOUR.",
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &","LEFT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVERS LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE ROCKER COVER GASKETS, ONE AND THREE",CUTOFF - C
100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,ENGINE DIED DURING MAGNETO CHECK. STARTED AIRCRAFT USING FLOODED START PROCEDURE,CUTOFF - T
100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS.,
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.,NUMBER TWO AND NUMBER FOUR CYLINDER OIL RETURN LINE CLAMPS LOOSE. TIGHTENED CLAMPS.,
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.,BAFFLE SEALS UNDER BOTH PROPELLER GOVERNORS ARE LOOSE. RESECURED BAFFLE SEALS.,
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES. INSTALLED REPAIRED BAFFLING.,
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES. REMOVED BAFFLE AND SWAPPED ACCESSORIES.,
100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
