pair_id,query_id,query_problem,candidate_problem,problem_relevance_0_1_2,candidate_historical_action,candidate_historical_action_family,action_applicability_0_1_2,phase_b_notes
MR-625572a519cbb540,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",#4 CYL L/H ENG BAFFLE SEAL LOOSE.,1,DRILLED & REPLACED RIVET ON BAFFLE SEAL.,Replace,2,Replacing the attachment rivet directly secures the same loose baffle seal.
MR-9b4cd31a2b92ceb0,100081,#2 INTAKE LEAKS.,CYL #2 INTAKE LEAKING.,2,REMOVED & REPLACED INTAKE GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-75b4214964899359,100568,ENGINE BAFFLE PLUG TABS BROKEN.,R/H SIDE BAFFLE PLUG LOOSE W/ TABS BROKEN.,2,REMOVED & REPLACED W/ NEW BAFFLE PLUG.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-b3c403d8989ebd52,103884,BAFFLE SCREW MISSING ABOVE STARTER.,"2 BAFFLE SCREWS MISSING, ABOVE STARTER.",1,INSTALLED SCREWS.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-5774ad5197c1e364,103087,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,REMOVED & REPLACED W/ NEW GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-1ef5da946b910e6c,106132,R/H ENG #2 CYL PUSH ROD END & ROCKER SCORED.,#1 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,1,REMOVED & REPLACED ROCKER ARM & PUSH ROD.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-49cf81af144a1e46,103173,#2 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-ba36bfcec1126c7d,103598,L/H ENGINE BAFFLE CRACKED.,FRONT & L/H ENGINE BAFFLE CRACKED.,2,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-64c165a8641cff55,105306,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,REMOVED & REPLACED W/ NEW GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-000151051d945985,106132,R/H ENG #2 CYL PUSH ROD END & ROCKER SCORED.,#4 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,1,REMOVED & REPLACED ROCKER ARM & PUSH ROD.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-9473db85fb8351b2,102221,#1 INTAKE GASKET LEAKS.,#2 INTAKE GASKET IS LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-9158b20826b5a79e,105940,2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,REMOVED & REPLACED W/ NEW GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-0f442328333fd663,105742,#4 CYL HAS LOW COMPRESSION.,LOW COMPRESSION ON #3 CYL.,1,RAN UP A/C & PERFORMED COMPRESSION TEST ON #3 CYL. COMP,Diagnose,1,"Relevant diagnostic/verification evidence, but no clear corrective resolution is recorded."
MR-f788ff132d67d175,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,REMOVE ZIP TIES FROM ENGINE MOUNT.,1,REMOVED ALL ZIP TIES FROM ENGINE MOUNT.,Other,0,Historical action does not treat the queried engine-mount rust condition.
MR-08067e21b5ee6d55,105029,#1 FWD BAFFLE SEAL LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,1,SECURED BAFFLE SEAL.,Adjust,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-c1ba98665c5444a8,104135,BAFFLE PLUG IS DAMAGED.,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.,2,REMOVED & REPLACED BAFFLE PLUG.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-a59874cea0ba56a9,104031,#4 AFT BAFFLE CRACKED.,#2 FWD BAFFLE CRACKED BEYOND STOP DRILL.,1,"STOP DRILLED CRACK, FABRICATED PATCH OF LIKE MATERIAL &",Repair,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-2d4ea3994545bc86,101668,"ROCKER COVER GASKETS #2, 3 TORN.",ROCKER COVER GASKETS CYL #2 & 4 LEAKING.,1,REMOVED & REPLACED ROCKER COVER GASKETS.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-def085836d3d3798,104674,R/H REAR BAFFLE INSP HOLE WORN.,FWD BLACK ENG SEAL WORN.,1,INSTALLED RTV SILICONE IN WORN AREAS.,Replace,0,Action treats worn seal material rather than the queried baffle inspection hole.
MR-0a0660ebc484c30f,105157,L/H #4 ROCKER COVER GASKET LEAKS.,R/H ENG #3 ROCKER COVER GASKET LEAKING.,1,"REMOVED COVER, FOUND DEBRIS UNDER SILICONE GASKET. CLEA",Diagnose,1,"Relevant inspection/cleaning of the leaking rocker-cover gasket, but the record is truncated and no replacement is shown."
MR-0833e21aca3cfb18,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"CYL #1 & 3 INTAKES ARE LEAKING, L/H ENG.",1,REPLACED INTAKE GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-991dfc0e859ed09e,103884,BAFFLE SCREW MISSING ABOVE STARTER.,#3 CYL SIDE BAFFLE SCREW MISSING.,1,INSTALLED NEW SCREW.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-d8bae1d064f8e5fb,100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,"L/H ENG BACK BAFFLE, BY #4 CYL, CRACKED.",1,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-fe00447b461bfe2f,101698,#4 INTAKE TUBE LOOSE.,"#4 CYL INTAKE TUBE FLANGE WORN, L/H ENG.",1,REMOVED & REPLACED INTAKE TUBE FLANGE.,Replace,1,"Replacing a worn intake-tube flange is relevant to tube looseness, but the historical fault/cause differs from the queried loose tube."
MR-47f4c6064e70f04f,105048,#2 & 4 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,REPLACED GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-337d96636391b21d,102624,COWL SEAL BY #2 CYL NEEDS TO BE REATTCHED TO BAFFLING.,#1 CYL BAFFLING HAS A CRACK.,1,STOP DRILLED CRACK.,Other,0,Historical action addresses a different component/fault or provides no meaningful action for the query.
MR-ea6ab91fd60c6fe2,100515,#3 ROCKER COVER GASKET IS TORN.,#4 ROCKER COVER GASKET LEAKING.,1,REPLACED GASKET.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-a7c1ec2b2ae9edcd,100515,#3 ROCKER COVER GASKET IS TORN.,#1 ROCKER COVER GASKET LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-a81dd6e93d1f208b,101744,BAFFLE BUTTON PLUG IS WORN.,"ENG FWD LWR BLACK SEAL HAS WORN SPOTS, ABOVE AIR INTAKE.",1,SEALED AREAS W/ BLACK RTV.,Service,0,Action treats a worn seal rather than the queried baffle plug.
MR-9844bd23e6130aaa,105157,L/H #4 ROCKER COVER GASKET LEAKS.,#2 ROCKER COVER GASKET LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-279cdf02cb39ec18,100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,R/H ENG OIL COOLER BAFFLE CRACKED.,1,REMOVED CABLES & LINES TO REMOVE BAFFLE ASSY. INSTALLED,Replace,1,"Action is relevant to the same problem class, but the recorded target or completion is not sufficiently explicit for a strong label."
MR-7c98589a1bffc249,100641,R/H ENG #2 & 4 INDUCTION TUBE GASKETS LEAKING.,R/H ENG #3 INTAKE IS LEAKING.,1,REPLACED INTAKE GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-624927620c8f9527,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-4233e28b9026a2dd,103087,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-c83a18661b866c8b,104264,#3 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-e3f62f8678cf4e7f,106106,L/H ENGINE #4 BAFFLE CRACKED.,L/H ENGINE BAFFLE BY ROCKER COVERS CRACKED.,2,REMOVED & REPLACED L/H ENGINE BAFFLE OVER ROCKER COVERS,Replace,2,Removing and replacing the cracked engine baffle directly addresses the same condition.
MR-5bb5bf6b69b56bd9,105178,#1 ROCKER COVER GASKET LEAKS.,R/H ENG #3 ROCKER COVER GASKET LEAKING.,1,"REMOVED COVER, FOUND DEBRIS UNDER SILICONE GASKET. CLEA",Diagnose,1,"Relevant inspection/cleaning of the leaking rocker-cover gasket, but the record is truncated and no replacement is shown."
MR-c26b8c8561e5962c,100540,#1 INTAKE GASKET LEAKS.,"R/H ENGINE, CYL #3 INTAKE GASKET IS LEAKING.",1,REMOVED & REPLACED INTAKE GASKET W/ NEW.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-8bf9f3ff5ff9a94e,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"#1, 2 & 4 CYL INTAKES LEAKING.",1,REMOVED & REPLACED CYL INTAKE GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-b869670b7d7477af,101668,"ROCKER COVER GASKETS #2, 3 TORN.",#3 & 4 ROCKER COVER GASKETS ARE BROKEN.,1,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-580ad08f37f85dd2,104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,ENG FWD SEAL (BLACK) WORN SPOTS AT AIR INLET.,2,APPLIED RTV TO AREAS.,Other,2,RTV repair directly treats the same worn forward black engine/cowl seal.
MR-4c3f38d2caad0b5b,100197,#2 & 4 INTAKES ARE LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-cc030a73ca7b0e22,101698,#4 INTAKE TUBE LOOSE.,#3 & 4 CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE.,1,REMOVED INTAKE TUBES.,Other,1,"Removing the loose intake tubes is a relevant intermediate step, but final securing or replacement is not recorded."
MR-bf9f3d940454f99f,100629,#2 INTAKE GASKET LEAKS.,#4 INTAKE GASKET IS LEAKING.,1,REPLACED GASKETS. LEAK CK GOOD.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-a62e3541c2b78af7,101668,"ROCKER COVER GASKETS #2, 3 TORN.",#1 & 3 ROCKER COVER GASKETS ARE BROKEN.,1,REMOVED & REPLACED ROCKER COVER GASKETS.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-1de226c00632f0b6,103274,INTAKES #2 & 4 LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-a1d8cc93b6e77af9,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,1,OPS & LEAK CHECK GOOD.,Inspect,0,Historical action does not treat the queried engine-mount rust condition.
MR-021850b7d8ca4883,104157,#2 & 3 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,2,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-6c446f068f90492f,100991,#2 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 & 4 CYL INTAKE GASKETS LEAKING.,1,"REMOVED COWL, REMOVED & REPLACED GASKETS. REINSTALLED C",Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-5860df94cc20baaa,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,SIGNS OF OIL LEAKING FROM FWD ENGINE CASE BOLTS AT MAIN CRAN,2,RETORQUED BOLTS.,Adjust,1,Direct repair of one historical oil-leak source; the query does not establish that source.
MR-bc2e0d003316d74a,103884,BAFFLE SCREW MISSING ABOVE STARTER.,BAFFLE SCREW MISSING AT FRONT OF #2 CYL.,1,REPLACED SCREW & BARREL NUT.,Replace,2,Replacing the missing baffle screw and barrel nut directly resolves the same hardware fault.
MR-7dade3eeefa86bce,103884,BAFFLE SCREW MISSING ABOVE STARTER.,"R/H ENGINE, L/H FWD BAFFLE SCREW MISSING.",1,INSTALLED NEW SCREW.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-c69d1df243edd7cc,102221,#1 INTAKE GASKET LEAKS.,#4 INTAKE GASKET IS LEAKING.,1,REPLACED GASKETS. LEAK CK GOOD.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-5340ac178f90257c,100264,#3 INTAKE LEAKING AT CLAMP.,#3 INTAKE LEAKING ON R/H ENGINE.,2,REMOVED & REPLACED INTAKE GASKET.,Replace,1,"Intake-gasket replacement is relevant leak evidence, but the query explicitly locates the leak at the clamp, which may require a different correction."
MR-59b4b879e9ac2896,104135,BAFFLE PLUG IS DAMAGED.,"BAFFLE PLUG DAMAGED, REQUIRES REPLACEMENT.",2,REMOVED & REPLACED BAFFLE PLUG.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-ba074341495fcb1b,105742,#4 CYL HAS LOW COMPRESSION.,CYL #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.,1,PERFORMED COMPRESSION ON #2 CYL AFTER RUN & NOTED 70/80,Other,1,"Relevant diagnostic/verification evidence, but no clear corrective resolution is recorded."
MR-62b53d5f1d3015e9,105610,#3 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-424e90f08df3b8ef,104515,#2 & 1 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,REPLACED INTAKE GASKETS ON R/H ENGINE.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-c6e8e2210f47eecd,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-99932b1c78f5149b,104471,"#1, 2, 4 INTAKES LEAKING.",L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-5aa85288f77d8972,101458,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,"#1 CYLINDER COMPRESSION LOW, 25LBS. COMING FROM EXHAUST",1,"REMOVED CYLINDER, FOUND BENT EXHAUST VALVE. INSTALLED R",Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-507c22189151de9c,102316,ENGINE AFT BAFFLE CYL #3 AREA HAS SHEARED RIVETS ON SUPPORT,"ENGINE AFT BAFFLE, NEXT TO #3 CYL, HAS SHEARED RIVETS.",2,DERIVETED SHEAR RIVETS. INSTALLED SCREWS & NUTS. REINST,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-3f0d9d9b8f880af4,105480,#1 & 3 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-ecc560854e0cec02,100197,#2 & 4 INTAKES ARE LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,REMOVED & REPLACED W/ NEW GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-33f22e69a3dc4b8d,105116,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",R/H ENG FWD CYL #2 BAFFLE SEAL IS TORN.,2,REMOVED & REPLACED BAFFLE SEAL W/ NEW.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-b3bd94c86a71feef,105029,#1 FWD BAFFLE SEAL LOOSE.,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP L/H SIDE.,1,REATTACHED BAFFLE SEAL ON TOP L/H SIDE.,Service,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-21c9cc28263fca4e,106106,L/H ENGINE #4 BAFFLE CRACKED.,CRACK IN R/H AFT ENGINE BAFFLE.,1,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-8f0c302a40e07e70,102624,COWL SEAL BY #2 CYL NEEDS TO BE REATTCHED TO BAFFLING.,#3 CYL TOP BAFFLING HAS A CRACK.,1,STOP DRILLED CRACK.,Other,0,Historical action addresses a different component/fault or provides no meaningful action for the query.
MR-dc2f7203f727bb91,101371,AFT BAFFLE BRACKET MISSING SCREW.,R/H SIDE BAFFLE IS MISSING A SCREW.,1,INSTALLED NEW SCREW ON BAFFLE.,Replace,1,"Installing a baffle screw is useful attachment evidence, but the query specifies an aft bracket and the historical case a side baffle."
MR-39005c3081e20c16,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.","L/H ENG, L/H REAR ENGINE BAFFLE SEAL LOOSE.",1,REATTACHED ENGINE BAFFLE SEAL.,Service,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-80f31396f1cd314d,100629,#2 INTAKE GASKET LEAKS.,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-473aa1b58ddae234,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,R/H ENGINE TOP BACK BONE SEEPING OIL.,2,RETORQUED TOP BACK BOLTS.,Adjust,1,Direct repair of one historical oil-leak source; the query does not establish that source.
MR-3580cbf5ddcbb752,100264,#3 INTAKE LEAKING AT CLAMP.,"R/H ENGINE #4 INTAKE LEAKING, AND #3 INTAKE.",1,REPLACED GASKET.,Replace,1,"Intake-gasket replacement is relevant leak evidence, but the query explicitly locates the leak at the clamp, which may require a different correction."
MR-8ae7258d707db433,102327,#3 INDUCTION TUBE GASKET LEAKING.,L/H ENG #3 & 4 CYL INTAKE GASKETS LEAKING.,1,"REMOVED COWL, REMOVED & REPLACED GASKETS. REINSTALLED C",Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-003c4723eeea004e,101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.",L/H ENG CYL #2 & 4 INTAKE GASKETS ARE LEAKING.,1,REMOVED & REPLACED INTAKE GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-d6026c309b1b0576,101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.","CYL #2, 3 & 4 INTAKE GASKETS ARE LEAKING ON L/H ENG.",1,REMOVED & REPLACED GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-2c66f6700d0d25be,104157,#2 & 3 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,REMOVED & REPLACED W/ NEW GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-21c75c16d8b58d19,105306,#2 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,CLINDERS NEED TO BE REPLACED. ,Replace,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-0376fa0e90c8e719,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",LH/ TOP ENGINE BAFFLE SEAL LOOSE.,1,RESCURED BAFFLE SEAL.,Service,1,"Related corrective action, but an important component/fault distinction limits direct applicability."
MR-c5405834ab069c84,102221,#1 INTAKE GASKET LEAKS.,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-59136df9a76135a2,106156,BAFFLE PLUG DAMAGED.,L/H BAFFLE PLUG WORN.,2,REMOVED & REPLACED PLUG.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-b4d650b742244d1c,105157,L/H #4 ROCKER COVER GASKET LEAKS.,#1 ROCKER COVER GASKET IS LEAKING.,1,REMOVED & REPLACED GASKET.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-3215a39e31dd974e,105742,#4 CYL HAS LOW COMPRESSION.,LOW COMPRESSION ON CYL #3 (55).,1,"REMOVED CYL, FOUND TO BE BURNT EXHAUST VALVE. INSTALLED",Replace,2,Cylinder removal and replacement for a burnt exhaust valve is direct corrective evidence for low compression.
MR-86516e70d82b3e09,104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,BLACK FWD ENG SEAL WORN.,2,INSTALLED RTV IN WORN AREAS.,Replace,2,RTV repair directly treats the same worn forward black engine/cowl seal.
MR-c5092d155552ab79,105048,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,REPLACED #3 GASKET.,Replace,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-26116ec3bc84be4c,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"R/H ENG, CYL #2, 3, 4 INTAKES ARE LEAKING.",1,REMOVED & REPLACED INTAKE GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-29aa105411b76fbd,101238,#2 & 4 INTAKES ARE LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,REPLACED GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-d009253f83ff7223,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,"R/H ENG #3 CYL SIDE BAFFLE, BOTH BOLTS MISSING.",1,INSTALLED NEW BOLTS & WASHERS.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-ac98abde7ba9f9cf,100958,#4 ROCKER COVER SCREWS LOOSE.,ROCKER COVER SCREWS LOOSE ON L/H ENGINE.,2,TIGHTENED SCREWS.,Adjust,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-2fd8e002f177c3d8,105306,#2 & 4 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,REPLACED GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-b656bff4ac5dd9ac,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",R/H ENG #2 CYL BAFFLE SEAL LOOSE.,1,TIGHTENED RIVETS ON SEAL.,Adjust,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
