pair_id,query_id,query_problem,candidate_problem_x,problem_relevance_0_1_2,phase_a_notes,candidate_id,rank,selected_mode,query_true_historical_action_family,candidate_historical_action,candidate_historical_action_family,candidate_problem_y,candidate_cluster_id,candidate_leakage_group_id,retrieval_score,action_applicability_0_1_2,phase_b_notes
MR-3cab3bd7f0f58940,101930,#1 CYL HAS LOW COMPRESSION.,CYL #3 HAD LOW COMPRESSION (50/80).,1,"Same low cylinder compression, but the specified cylinder set conflicts (1 versus 3).",102946,5,structure,Service,"STAKED VALVE, COMPRESSION CK'ED GOOD (72).",Other,CYL #3 HAD LOW COMPRESSION (50/80).,EC-23cc179871166178,LG-23cc179871166178,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-c3e8eecdd8564e06,101898,#3 INDUCTION TUBE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (3 versus 1).",106098,2,structure,Replace,INSTALLED NEW INTAKE GASKET.,Replace,#1 INTAKE GASKET LEAKING.,EC-66c69e07864cfa3c,LG-4285908bb8f7434c,0.6,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-6c7c6bd95f3f5521,101371,AFT BAFFLE BRACKET MISSING SCREW.,MISSING SCREW FRONT BAFFLE ON R/H SIDE.,1,"Same baffle missing hardware, but the specified location conflicts (aft versus front).",101400,5,structure,Replace,INSTALLED NEW SCREW.,Replace,MISSING SCREW FRONT BAFFLE ON R/H SIDE.,EC-84e8c1082d2f1dc2,LG-84e8c1082d2f1dc2,0.8,1,"Installing a baffle screw is useful attachment evidence, but the query specifies an aft bracket and the historical case a front baffle."
MR-1372943a8c221b77,101458,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,LOW COMPRESSION (40/80) ON #3 CYLINDER. AIR LEAKING FROM EXH,2,"Same core problem; engine side is stated on only one side, without contradiction.",105303,5,structure,Diagnose,BEGAN REPLACEMENT OF CYLINDER. REPLACED OLD CYLINDER W/,Replace,LOW COMPRESSION (40/80) ON #3 CYLINDER. AIR LEAKING FROM EXH,EC-c0f2c652f9e0dd97,LG-c0f2c652f9e0dd97,0.7625,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-0376fa0e90c8e719,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",LH/ TOP ENGINE BAFFLE SEAL LOOSE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus baffle seal defect.",105633,3,structure,Adjust,RESCURED BAFFLE SEAL.,Service,LH/ TOP ENGINE BAFFLE SEAL LOOSE.,EC-0cc6dfdc09744ff4,LG-0cc6dfdc09744ff4,0.68,1,"Related corrective action, but an important component/fault distinction limits direct applicability."
MR-b3bd94c86a71feef,105029,#1 FWD BAFFLE SEAL LOOSE.,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP L/H SIDE.,1,"Same loose baffle seal, but cylinder-1 forward versus top L/H location differs materially.",102073,5,structure,Adjust,REATTACHED BAFFLE SEAL ON TOP L/H SIDE.,Service,ENGINE COOLING BAFFLE SEAL LOOSE ON TOP L/H SIDE.,EC-b1cc0ec54c3370c8,LG-b1cc0ec54c3370c8,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-7e92428b2494076e,102823,#1 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,3).",103544,4,structure,Replace,REPLACED #3 GASKET.,Replace,L/H ENG #2 & 3 INTAKES ARE LEAKING.,EC-410f2059a575ccfa,LG-4285908bb8f7434c,1.0,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-1432d172bb2cfa6d,100727,REAR BAFFLE PLUGS WORN OUT.,TABS ARE WORN OFF OF BAFFLE PLUGS.,2,"Same core problem; position is stated on only one side, without contradiction.",103262,4,structure,Replace,REPLACED BAFFLE PLUGS.,Replace,TABS ARE WORN OFF OF BAFFLE PLUGS.,EC-122fa2d1f5448ac1,LG-122fa2d1f5448ac1,0.8749999999999999,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-5774ad5197c1e364,103087,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4).",106105,1,structure,Replace,REMOVED & REPLACED W/ NEW GASKETS.,Replace,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",EC-f4c4e83928513c1e,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-f67b3c1bb5a6c21f,105116,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",L/H ENG CYL #2 FWD BAFFLE SEAL IS TORN.,1,"Same baffle seal defect, but engine side conflicts (right versus left).",101537,2,structure,Replace,REMOVED & REPLACED BAFFLE SEAL W/ NEW.,Replace,L/H ENG CYL #2 FWD BAFFLE SEAL IS TORN.,EC-3ba1e9db59e83dce,LG-3ba1e9db59e83dce,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-201bdc3d133f4b7f,104071,"R/H ENG, R/H REAR BAFFLE IS CRACKED.","L/H ENG, L/H AFT BAFFLE CRACKED, SEVERAL PLACES.",1,"Same baffle crack, but engine side conflicts (right versus left).",102329,3,structure,Inspect,REPLACED BAFFLE W/ REPAIRED ASSY.,Replace,"L/H ENG, L/H AFT BAFFLE CRACKED, SEVERAL PLACES.",EC-b0a836b812ff7070,LG-b0a836b812ff7070,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-69bca66201f77e11,105306,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3).",103544,4,structure,Replace,REPLACED #3 GASKET.,Replace,L/H ENG #2 & 3 INTAKES ARE LEAKING.,EC-410f2059a575ccfa,LG-4285908bb8f7434c,1.0,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-4215d64ce314ac41,101877,#3 INDUCTION TUBE GASKET LEAKING.,"CYL #1, 2, 4 INTAKE GASKETS LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3 versus 1,2,4).",106089,3,structure,Replace,REMOVED & REPLACED GASKETS.,Replace,"CYL #1, 2, 4 INTAKE GASKETS LEAKING.",EC-47ad4117e588d4c8,LG-4285908bb8f7434c,0.6,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-95ead75113fedde3,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,"#3 AFT BAFFLE HAS A BROKEN BRACKET, BEHIND OIL FILLER TUBE.",0,Different core problems: carb-airbox fire versus broken component.,106150,3,structure,Inspect,REPLACED W/ REPAIRED BAFFLE.,Replace,"#3 AFT BAFFLE HAS A BROKEN BRACKET, BEHIND OIL FILLER TUBE.",EC-51af478b0c84d0bf,LG-51af478b0c84d0bf,0.4285714285714285,0,
MR-914b9d0372d8562e,101410,REAR R/H ENGINE BAFFLE BRACKET CRACKED.,R/H ENGINE AFT I/B BAFFLE @ OIL COOLER CRACKED.,1,"Related maintenance area, but core problem differs: baffle bracket crack versus baffle crack.",102278,4,structure,Replace,STOP DRILLED CRACKS IN BAFFLE.,Other,R/H ENGINE AFT I/B BAFFLE @ OIL COOLER CRACKED.,EC-d79c5924a924909b,LG-d79c5924a924909b,0.8,1,"Related corrective action, but an important component/fault distinction limits direct applicability."
MR-d23039878cd50203,103274,INTAKES #2 & 4 LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3).",103544,4,structure,Replace,REPLACED #3 GASKET.,Replace,L/H ENG #2 & 3 INTAKES ARE LEAKING.,EC-410f2059a575ccfa,LG-4285908bb8f7434c,1.0,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-2a833fcd5274c02d,101698,#4 INTAKE TUBE LOOSE.,#1 INTAKE TUBE DAMAGED.,1,"Same component area, but defect differs: loose versus damaged.",101965,4,structure,Replace,CANNED CYL #1 INTAKE PIPE FROM INVENTORY ITEM. REMOVED,Other,#1 INTAKE TUBE DAMAGED.,EC-77b1b19d6b54d318,LG-77b1b19d6b54d318,0.7000000000000001,0,The record only removes/cans a damaged intake pipe and does not show a completed correction for a loose tube.
MR-9755910102d335ba,103598,L/H ENGINE BAFFLE CRACKED.,CRACK IN R/H AFT ENGINE BAFFLE.,1,"Same baffle crack, but engine side conflicts (left versus right).",103856,1,structure,Repair,STOP DRILLED CRACK.,Other,CRACK IN R/H AFT ENGINE BAFFLE.,EC-95553a914876ef77,LG-95553a914876ef77,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-910eedb7a965cb7d,103884,BAFFLE SCREW MISSING ABOVE STARTER.,CYL #2 BAFFLE SCREW MISSING L/H ENGINE.,1,"Same missing baffle screw, but above-starter versus L/H cylinder-2 location differs materially.",104117,2,structure,Replace,INSTALLED SCREW.,Replace,CYL #2 BAFFLE SCREW MISSING L/H ENGINE.,EC-bb642b9afb7226a1,LG-bb642b9afb7226a1,0.8,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-33e1d6f1194ca376,102823,#1 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,3,4).",103495,5,structure,Replace,REPLACED INTAKE GASKETS ON R/H ENGINE.,Replace,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",EC-acfd9a8357993041,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-6e1ca9743bd08bc7,101930,#1 CYL HAS LOW COMPRESSION.,CYL #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.,1,"Same low cylinder compression, but the specified cylinder set conflicts (1 versus 2).",103039,4,structure,Service,PERFORMED COMPRESSION ON #2 CYL AFTER RUN & NOTED 70/80,Other,CYL #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.,EC-1c20dae9504b10d3,LG-1c20dae9504b10d3,1.0,1,"Relevant diagnostic/verification evidence, but no clear corrective resolution is recorded."
MR-7c63633ca29b8017,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,"BAFFLE SEAL LOOSE ON LH/ ENG, #4 AFT BAFFLE.",0,Different core problems: rocker-cover loose screws versus baffle seal defect.,101554,5,structure,Adjust,SECURED BAFFLE SEAL BACK ON ENGINE BAFFLE.,Adjust,"BAFFLE SEAL LOOSE ON LH/ ENG, #4 AFT BAFFLE.",EC-58191b4392158710,LG-58191b4392158710,0.6,0,
MR-0fde1e6c5a4a91cf,101116,"L/H ENG, #4 INDUCTION TUBE GASKET LEAKING.",L/H ENG #3 ROCKER COVER IS LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.,102068,2,structure,Replace,REPLACED ROCKER COVER GASKET.,Replace,L/H ENG #3 ROCKER COVER IS LEAKING.,EC-4f854674f99caf68,LG-608d782c2258dd59,0.8,0,
MR-3196521221de3dbc,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,#4 AFT BAFFLE MISSING SCREW.,1,"Same missing baffle hardware and cylinder, but side-baffle versus aft-baffle location is a material mismatch.",105540,3,structure,Replace,REINSTALLED SCREW.,Other,#4 AFT BAFFLE MISSING SCREW.,EC-515bcd8483423a91,LG-2712ed94e860906e,0.8,1,"Reinstalling one baffle screw is relevant, but it only partially covers the query for missing side-baffle bolts."
MR-c83a18661b866c8b,104264,#3 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,4).",106109,2,structure,Replace,CLINDERS NEED TO BE REPLACED. ,Replace,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,EC-97caa6160c52c03f,LG-4285908bb8f7434c,1.0,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-8025823a2a716444,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",R/H REAR ENGINE BAFFLE MOUNT LOOSE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus loose hardware/component.",104651,5,structure,Adjust,"REMOVED R/H REAR BAFFLE, REATTACHED BAFFLE MOUNT & REIN",Other,R/H REAR ENGINE BAFFLE MOUNT LOOSE.,EC-202e61ddc1deee05,LG-fb9e5102af11d7a0,0.68,0,Historical action addresses different baffle hardware rather than the queried foam/cowl seal.
MR-0a782d0c5e25aa6a,100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,CYL #3 ROCKER DRAIN LINE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.,102462,4,structure,Adjust,TIGHTENED DRAIN LINE.,Adjust,CYL #3 ROCKER DRAIN LINE LOOSE.,EC-cffab82dca59e66f,LG-cffab82dca59e66f,0.8,0,
MR-a53e2d70aa447a79,104623,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,ADEL CLAMP TORN BY R/H ENGINE MOUNT.,0,Different core problems: crankshaft gouge versus other.,101547,3,structure,Replace,REMOVED & REPLACED CLAMP.,Replace,ADEL CLAMP TORN BY R/H ENGINE MOUNT.,EC-1a6bd113dca0ef16,LG-1a6bd113dca0ef16,0.4875,0,
MR-be8f684c99204584,100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.",SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.,106068,2,structure,Adjust,TIGHTENED SCREW.,Adjust,SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,EC-fec6a74e246506cb,LG-7258411586fd843f,0.6,0,
MR-a1d8cc93b6e77af9,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,1,"Related maintenance area, but core problem differs: engine-mount rust versus engine-mount wear.",100136,4,structure,Inspect,OPS & LEAK CHECK GOOD.,Inspect,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,EC-7fe5feb6517e93bd,LG-7fe5feb6517e93bd,0.6785714285714286,0,Historical action does not treat the queried engine-mount rust condition.
MR-73b5081aba0f1f1b,105480,#1 & 3 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,3 versus 2,3,4).",106105,1,structure,Replace,REMOVED & REPLACED W/ NEW GASKETS.,Replace,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",EC-f4c4e83928513c1e,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-c1ba98665c5444a8,104135,BAFFLE PLUG IS DAMAGED.,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction.",101860,3,structure,Replace,REMOVED & REPLACED BAFFLE PLUG.,Replace,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.,EC-a0a4f86c3610f1d6,LG-a0a4f86c3610f1d6,0.7000000000000001,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-92c512f95f0c34b1,103676,#4 CYL ROCKER COVER IS MISSING SCREW.,SCREW MISSING FROM L/H ENGINE #3 ROCKER COVER.,1,"Same rocker-cover missing screw, but the specified cylinder set conflicts (4 versus 3).",104233,4,structure,Replace,INSTALLED NEW HARDWARE.,Replace,SCREW MISSING FROM L/H ENGINE #3 ROCKER COVER.,EC-fcc944d83cff7153,LG-fcc944d83cff7153,0.8666666666666667,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-9473db85fb8351b2,102221,#1 INTAKE GASKET LEAKS.,#2 INTAKE GASKET IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 2).",100959,5,structure,Replace,REMOVED & REPLACED GASKET.,Replace,#2 INTAKE GASKET IS LEAKING.,EC-53f353a420cf4fcc,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-91a9fee2f343c433,101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.","R/H ENG CYL #2, 3 & 4 INTAKE GASKETS ARE LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3,4).",105381,5,structure,Replace,REPLACED #2 GASKET.,Replace,"R/H ENG CYL #2, 3 & 4 INTAKE GASKETS ARE LEAKING.",EC-07b864b7c09d8ea0,LG-4285908bb8f7434c,1.0,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-7cce169edf76fb94,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,4).",106085,3,structure,Replace,REPLACED GASKETS.,Replace,L/H ENGINE #2 & 4 INTAKES LEAKING.,EC-603b22dcdb952fe3,LG-4285908bb8f7434c,1.0,1,"Correct intake-gasket action, but it covers only part of the compound query."
MR-642cf5d0b8c76fa3,101194,ROCKER BOX COVER SCREWS LOOSE.,"RIVET LOOSE AT BAFFLE, AFT CENTER.",0,Different core problems: rocker-cover loose screws versus loose hardware/component.,106144,1,structure,Adjust,REPLACED RIVET W/ NEW.,Replace,"RIVET LOOSE AT BAFFLE, AFT CENTER.",EC-dac366a25718c46c,LG-dac366a25718c46c,0.6,0,
MR-b55b1acbdf0a04df,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.,106068,2,structure,Adjust,TIGHTENED SCREW.,Adjust,SCREW BEHIND OIL DIPSTICK TUBE LOOSE.,EC-fec6a74e246506cb,LG-7258411586fd843f,0.6,0,
MR-279cdf02cb39ec18,100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,R/H ENG OIL COOLER BAFFLE CRACKED.,1,"Same cracked R/H engine baffle, but cylinder-4 air baffle versus oil-cooler baffle is a material component/location difference.",101058,2,structure,Replace,REMOVED CABLES & LINES TO REMOVE BAFFLE ASSY. INSTALLED,Replace,R/H ENG OIL COOLER BAFFLE CRACKED.,EC-bb9b155b7b6de5fd,LG-bb9b155b7b6de5fd,0.8,1,"Action is relevant to the same problem class, but the recorded target or completion is not sufficiently explicit for a strong label."
MR-8971ce683db226cf,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,ENGINE HESITATION/ROUGHNESS 30 SEC AFTER TAKEOFF. NO FURTHER,0,Different core problems: idle override speed versus other.,101894,5,structure,Diagnose,"RAN A/C, DID NOT NOTICE ANY ROUGHNESS OR HESTITATION.",Other,ENGINE HESITATION/ROUGHNESS 30 SEC AFTER TAKEOFF. NO FURTHER,EC-0ca40a54f289d54f,LG-0ca40a54f289d54f,1.0,0,
MR-b5f472c946ad114f,102952,AUTO RE-IGN DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,0,Different core problems: auto re-ignition failure versus low cylinder compression.,102942,5,structure,Diagnose,REMOVED #4 CYL. REPLACED EXHAUST VALVE & GROUND SEAT. G,Replace,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,EC-5032c317cd8729ef,LG-5032c317cd8729ef,0.3,0,
MR-2daf90c1c580e8b2,105592,SMALL RUST SPOT ON AFT TOP L/H (L/H ENGINE MOUNT).,R/H MAG BLAST TUBE FELL OFF.,0,Different core problems: engine-mount rust versus other.,100027,5,structure,Inspect,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,Repair,R/H MAG BLAST TUBE FELL OFF.,EC-b2927faee2837746,LG-b2927faee2837746,0.4285714285714285,0,
MR-0d8d249dff5c8ad3,105048,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4).",106105,1,structure,Replace,REMOVED & REPLACED W/ NEW GASKETS.,Replace,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",EC-f4c4e83928513c1e,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-77d47c8ab1f03919,103656,OIL COOLERS DIRTY.,ENGINE IS DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.,101390,3,structure,Service,WASHED ENGINE.,Other,ENGINE IS DIRTY.,EC-15dccda7847407ab,LG-15dccda7847407ab,0.6,0,
MR-84a96e3dc844c373,104219,BOTH OIL COOLERS DIRTY.,"SEAL LOOSE ON ENGINE COWL, ABOVE L/H & R/H OIL COOLERS (BLAC",0,Different core problems: oil-cooler contamination versus cowl/engine seal loose.,104103,1,structure,Service,"RESECURED SEAL ON LOWER ENGINE COWLS, L/H & R/H, ABOVE",Adjust,"SEAL LOOSE ON ENGINE COWL, ABOVE L/H & R/H OIL COOLERS (BLAC",EC-6a51c50ea4b261a1,LG-6a51c50ea4b261a1,0.7000000000000001,0,
MR-1f66de15f826421d,104471,"#1, 2, 4 INTAKES LEAKING.","INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,2,4 versus 2,3,4).",106105,1,structure,Replace,REMOVED & REPLACED W/ NEW GASKETS.,Replace,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",EC-f4c4e83928513c1e,LG-4285908bb8f7434c,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-ce6fa289ccbd4e58,100636,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,R/H ENGINE #3 ROCKER COVER LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.,105903,2,structure,Replace,REPLACED ROCKER COVER GASKET.,Replace,R/H ENGINE #3 ROCKER COVER LEAKING.,EC-b1c2f1d621dd5729,LG-608d782c2258dd59,0.8,0,
