evaluation_cluster_id,split,case_count,unique_problem_texts,sample_problem_1,sample_problem_2,sample_problem_3,sample_case_ids
EVC-9206c765f024f50f,test,25,15,R/H ENG #2 INTAKE LEAKS.,#2 INTAKE LEAKS.,#4 INTAKE LEAKS.,100068 | 100081 | 100082 | 100571 | 100572
EVC-708e18f27592f26c,train,22,11,ROCKER BOX COVER SCREWS LOOSE.,ROCKER BOX COVER SCREWS ARE LOOSE.,#2 ROCKER BOX COVER SCREWS LOOSE.,100017 | 100023 | 100088 | 100095 | 100144
EVC-f02c4f94e793c684,dev,21,2,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,,100163 | 100164 | 100165 | 100166 | 100167
EVC-f5dd0fb887621593,train,21,8,L/H BAFFLE PLUG WORN.,#3 BAFFLE PLUG IS WORN.,WORN BAFFLE PLUGS.,100055 | 100468 | 101713 | 101959 | 101976
EVC-8dcf4b511cde6388,train,20,14,R/H ENGINE CYL #3 AFT BAFFLE IS CRACKED.,L/H FWD ENGINE BAFFLE CRACKED.,AFT L/H ENGINE BAFFLE CRACKED.,100280 | 100319 | 100418 | 100496 | 100500
EVC-c6807ef1f2414b6e,dev,20,13,R/H FWD BAFFLE SEAL LOOSE.,L/H ENG CYL #1 FWD BAFFLE SEAL IS LOOSE.,R/H ENG FWD BAFFLE SEAL LOOSE.,100159 | 100238 | 101559 | 101607 | 101623
EVC-ddda26736085b35d,train,20,17,MISSING SCREW ON #3 ROCKER COVER.,SCREW MISSING IN #4 ROCKER COVER.,#2 CYL ROCKER COVER IS MISSING A SCREW.,100196 | 100250 | 100960 | 101264 | 101758
EVC-4ce3c53fbd61ef96,dev,19,18,SCREW IS MISSING ON #3 CYL BAFFLE.,SCREW MISSING ON #3 BAFFLE.,R/H ENG BAFFLE SCREW MISSING.,100125 | 100233 | 101341 | 101522 | 101893
EVC-356ffe64a0d40c11,train,18,18,L/H ENGINE O/B BAFFLE ROD BROKEN.,L/H BAFFLE O/B TIE ROD IS BROKEN.,L/H ENGINE O/B BAFFLE TIE ROD BROKEN.,100557 | 100851 | 101235 | 101614 | 102301
EVC-cc9a038d5d45a608,dev,17,8,#2 & 4 INTAKES ARE LEAKING.,CYL #2 & 3 INTAKES ARE LEAKING.,#2 & 3 INTAKES ARE LEAKING.,100197 | 100282 | 100306 | 100381 | 100396
EVC-2a3cefebb01418e6,train,16,11,L/H SIDE BAFFLE CRACKED.,R/H SIDE OF BAFFLE IS CRACKED.,#1 & 3 SIDE BAFFLE CRACKED.,100339 | 100842 | 101017 | 101189 | 101379
EVC-c47070f1c644ad1c,train,16,3,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,INDUCTION TUBE HOSE CLAMPS LOOSE.,100007 | 100013 | 100024 | 100026 | 100192
EVC-efc78b597496b5c6,train,16,15,#2 CYL BAFFLE SEAL NEEDS TO BE RESECURED.,R/H FWD BAFFLE SEAL NEEDS TO BE SECURED.,#2 CYL BAFFLE SEAL NEEDS TO BE SECURED.,100389 | 100902 | 103627 | 103857 | 104201
EVC-9f89159f6701869c,train,15,11,L/H REAR ENGINE BAFFLE CRACKED.,#4 REAR ENGINE BAFFLE CRACKED.,"R/H ENG, L/H REAR BAFFLE CRACKED.",100012 | 100191 | 100576 | 100640 | 100802
EVC-d781ca953ac3d903,test,15,4,SNIFFLER VALVES ARE DIRTY.,SNIFFLE VALVES DIRTY.,SNIFFLER VALVES DIRTY.,101087 | 102430 | 102715 | 103047 | 103657
EVC-0dad756fc5f5ce66,train,14,11,L/H & R/H ENGINE BAFFLE PLUGS DAMAGED.,L/H ENGINE BAFFLE PLUG DAMAGED.,L/H BAFFLE PLUG DAMAGED.,101286 | 101826 | 101892 | 101932 | 102367
EVC-504e41796e02f87a,train,14,10,L/H BAFFLE PLUG MISSING.,BAFFLE PLUG IS MISSING.,R/H BAFFLE PLUG IS MISSING.,100302 | 101015 | 101974 | 102312 | 102676
EVC-7541f855f8a66654,dev,14,4,#4 CYL NEEDS TO BE CHANGED (FAILED ).,#3 CYL NEEDS TO BE CHANGED (FAILED ).,#2 CYL NEEDS TO BE CHANGED (FAILED ).,104712 | 104713 | 104717 | 104718 | 104719
EVC-4dd09ea00ec39650,train,13,7,"#1, 2, 3 CYLINDER INTAKE GASKETS LEAKING.",#2 CYLINDER INTAKE GASKET LEAKING.,#4 CYLINDER INTAKE GASKET LEAKING.,100270 | 100446 | 100456 | 100747 | 100816
EVC-abf21eb24137b495,train,13,5,BOTH BAFFLE PLUGS WORN.,BOTH L/H & R/H BAFFLE PLUGS WORN.,BOTH ENG BAFFLE PLUGS WORN.,100311 | 101794 | 102111 | 102599 | 103031
EVC-bb4fdcc87e70faf4,dev,13,8,#2 FWD BAFFLE CRACKED.,CYL #1 FWD BAFFLE IS CRACKED.,R/H FWD BAFFLE IS CRACKED.,101139 | 101414 | 101520 | 101960 | 102113
EVC-6d7f876db70a71ab,train,12,12,"BAFFLE SCREW, BEHIND DIPSTICK, IS LOOSE.","SCREW LOOSE, 1 FOR BAFFLE BEHIND OIL DIPSTICK TUBE.",SCREW FOR BAFFLE BEHIND OIL DIPSTICK TUBE LOOSE.,101197 | 103518 | 104520 | 104707 | 104785
EVC-73d91e99accf57dd,train,11,8,#4 CYL BAFFLE IS CRACKED.,#1 CYL BAFFLE CRACKED.,CYL #1 BAFFLE IS CRACKED.,100471 | 100531 | 100784 | 101034 | 101064
EVC-813501ebdfb87d66,train,11,1,ENGINE REQUIRES DISASSEMBLY & INSPECTION AFTER PROP STRIKE.,,,102488 | 102489 | 102490 | 102491 | 102492
EVC-8d6e033edfe0edf7,train,11,6,R/H BAFFLE SPRING BROKEN.,L/H BAFFLE SPRING IS BROKEN.,L/H I/B BAFFLE SPRING IS BROKEN.,100776 | 100871 | 100880 | 101030 | 102000
EVC-b662d70ae17d56c4,train,11,1,BOTH BAFFLE PLUGS DAMAGED.,,,104685 | 105292 | 105310 | 105313 | 105352
EVC-cb36fe3cdda59dc8,train,11,6,#3 ROCKER COVER GASKET TORN.,#4 ROCKER COVER GASKET TORN.,#3 ROCKER COVER GASKET IS TORN.,100059 | 100060 | 100515 | 100668 | 101285
EVC-132753457a0b0284,train,10,3,START ASSIST.,START ASSIST ON L/H ENGINE.,"START ASSIST, L/H ENGINE.",102541 | 102638 | 102680 | 102683 | 102703
EVC-4737dc7e4aeff99c,train,10,4,#1 CYL NEEDS TO BE REPLACED,#2 CYL NEEDS TO BE REPLACED,#3 CYL NEEDS TO BE REPLACED,104412 | 104413 | 104414 | 104415 | 104417
EVC-857eb12dcb252ea8,train,10,3,ALL ROCKER COVER SCREWS ARE LOOSE.,ALL ROCKER COVER SCREWS LOOSE.,ALL ENG ROCKER COVER SCREWS LOOSE.,100541 | 100592 | 100787 | 101490 | 101546
EVC-af4654fdc9b80ac4,train,10,1,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,,,104743 | 104744 | 104745 | 104746 | 104747
EVC-3da9a2c0e5912096,train,9,6,R/H REAR BAFFLE MOUNTING SCREW LOOSE.,R/H REAR ENGINE BAFFLE MOUNT SCREW LOOSE.,R/H REAR ENGINE BAFFLE MOUNTING SCREW LOOSE.,100301 | 100970 | 101497 | 101914 | 102019
EVC-8423ed2f7b6e2e8d,dev,9,7,L/H #1 SIDE BAFFLE SEAL LOOSE.,R/H #2 SIDE BAFFLE SEAL IS LOOSE.,BAFFLE SEAL LOOSE ON R/H ENG #1 SIDE BAFFLE.,100751 | 101237 | 101555 | 102878 | 103203
EVC-97d2bd1584bbc4b5,train,9,6,HARDWARE MISSING ON R/H AFT BAFFLE.,HARDWARE MISSING FROM R/H AFT SIDE BAFFLE.,HARDWARE MISSING ON #3 BAFFLE.,100709 | 100710 | 102630 | 104532 | 104983
EVC-2224d2cd8f8a6465,train,8,6,BAFFLE CRACKED ABOVE #1 CYL.,BAFFLE IS CRACKED ABOVE #1 CYL.,"ENGINE BAFFLE CRACKED, ABOVE #1 CYL.",100726 | 102745 | 103242 | 103342 | 103644
EVC-51534473f55cd4f0,train,8,1,HIGH FREQUENCY VIBRATION FELT WHILE RUNNING UP AT 2000 RPM.,,,105944 | 105945 | 105946 | 105947 | 105948
EVC-653924f2675a813d,train,8,1,ENGINE REQUIRES OVERHAUL.,,,105542 | 105544 | 105545 | 105546 | 105547
EVC-b211d52bc1fa1e80,test,8,3,#1 CYLINDER CRACKED.,#2 CYLINDER CRACKED.,L/H ENG #1 CYLINDER CRACKED.,105737 | 105739 | 106100 | 106102 | 106103
EVC-bfe493757185eca0,dev,8,1,ENGINE NEEDS TO BE PRESERVED.,,,103385 | 103386 | 103387 | 103388 | 103389
EVC-cf2b15d515bd3fb8,dev,8,8,AFT BAFFLE SCREW LOOSE.,AFT R/H BAFFLE SCREW LOOSE.,CYL #3 AFT BAFFLE SCREW LOOSE.,100190 | 100957 | 101148 | 101593 | 102561
EVC-ea76b742832df627,train,8,7,#2 INTAKE LEAKING ON LEFT ENGINE.,LEFT ENGINE #3 INTAKE IS LEAKING.,LEFT ENGINE #3 INTAKE LEAKING.,100631 | 102209 | 103502 | 103964 | 104407
EVC-201f5c9cd12decdf,train,7,4,ENGINE BAFFLE PLUGS WORN.,BAFFLE PLUGS ARE WORN.,ENGINE BAFFLE PLUGS ARE WORN.,101028 | 101098 | 103141 | 103701 | 104642
EVC-258c13d670e8ce30,train,7,1,"ON ENGINE START, ENGINE WAS UNUSUALLY ROUGH. ATTEMPTED TO LE",,,101629 | 101630 | 101631 | 101632 | 101633
EVC-45deee8d2d4a4acd,dev,7,1,"#4 CYLINDER HAS NO COMPRESSION (0/80), AIR COMING OUT EXHAUS",,,104081 | 104082 | 104083 | 104084 | 104085
EVC-e3f40db7080edba0,train,7,1,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,,,104621 | 104622 | 104623 | 104624 | 104625
EVC-ea13a4383e98bdb6,train,7,3,"#2 CYL EXHAUST VALVE FAILED (EX CLEARNACE .035"").","#3 CYL EXHAUST VALVE FAILED (EX CLEARNACE .034"").","#4 CYL EXHAUST VALVE FAILED (EX CLEARNACE .033"").",104567 | 104568 | 104569 | 104570 | 104573
EVC-ff970112a9943313,train,7,4,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,ROCKER BOX COVER SCREWS LOOSE (ALL CYLS).,ROCKER BOX COVER SCREW LOOSE ON ALL CYLS.,100006 | 100218 | 100262 | 100553 | 100755
EVC-2c901ec0991c87b0,train,6,5,#1 ENGINE BAFFLE CRACKED.,#1 CYL ENGINE BAFFLE IS CRACKED.,"ENGINE BAFFLE CRACKED, #3 CYL.",100018 | 102975 | 103398 | 103598 | 104739
EVC-35674fd6bc95ef1a,train,6,2,LH OIL COOLER NEEDS TO BE CHANGED.,R/H OIL COOLER NEEDS TO BE CHANGED.,,104063 | 104064 | 104065 | 104066 | 104068
EVC-364c1523a98cf9b1,train,6,1,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,,,105672 | 105673 | 105674 | 105675 | 105676
EVC-3ed498f3479c8681,test,6,2,REPLACE L/H ENGINE TORQUEMETER HOSES.,REPLACE R/H ENGINE TORQUEMETER HOSES.,,100411 | 100412 | 100413 | 100414 | 100415
EVC-476c19ac07c5b97e,train,6,1,R/H REAR ENGINE BAFFLE SCREW MISSING.,,,100217 | 101048 | 102335 | 103408 | 104467
EVC-7d62fa7b1c564011,train,6,1,"PERFORMING GROUND REF MAN, THROTTLE WAS AT 1600 RPM, THROTTL",,,102024 | 102025 | 102026 | 102027 | 102028
EVC-998dc3b90873d78e,train,6,1,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,,,105718 | 105719 | 105720 | 105721 | 105722
EVC-b2d8faff95c65360,dev,6,6,#3 CYL AFT BAFFLE MISSING SCREW.,R/H AFT BAFFLE SCREW MISSING.,CYL #3 AFT BAFFLE SCREW MISSING.,100382 | 102161 | 104208 | 105540 | 105683
EVC-d1258650387659eb,train,6,1,L/H ENGINE HAD C CLIP IN OIL SCREEN,,,103974 | 103976 | 103977 | 103978 | 103979
EVC-d22585a1526312a9,train,6,2,L/H BAFFLE PLUG NEEDS TO BE REPLACED.,R/H BAFFLE PLUG NEEDS TO BE REPLACED.,,100462 | 101145 | 101298 | 101625 | 103834
EVC-dc1d2792ed62892a,train,6,2,#1 CYL EXHAUST VALVE FAILED .,#4 CYL EXHAUST VALVE FAILED .,,104689 | 104690 | 104691 | 104692 | 104693
EVC-dc5cb02210fe5eb8,train,6,3,2 BAFFLE PLUGS NEEDS TO BE REPLACED.,BAFFLE PLUGS NEED TO BE REPLACED.,BAFFLE PLUGS NEEDS TO BE REPLACED.,102137 | 103693 | 104266 | 104353 | 105795
EVC-e0870fe3167ebc57,train,6,6,"SCREW MISSING, AFT BAFFLE BRACKET.",#3 BAFFLE IS MISSING SCREW ON BRACKET.,AFT BAFFLE BRACKET MISSING SCREW.,100724 | 100860 | 101371 | 102105 | 102149
EVC-ecaef9eceebc7d23,test,6,3,R/H REAR ENGINE BAFFLE SCREW LOOSE.,ENGINE R/H REAR BAFFLE SCREW LOOSE.,R/H REAR ENGINE BAFFLE SCREWS LOOSE.,101397 | 101570 | 101661 | 102590 | 105280
EVC-f15de6c6e013d9e2,dev,6,5,R/H ENGINE BAFFLE PLUG BROKEN.,R/H BAFFLE PLUG BROKEN ON #3 CYL.,R/H BAFFLE PLUG BROKEN.,101009 | 104432 | 104496 | 104903 | 105273
EVC-0ac87db88767c887,train,5,4,#2 ROCKER COVER LEAKS.,#3 ROCKER COVER LEAKS.,#4 CYL ROCKER COVER LEAKS.,102006 | 102258 | 102361 | 104558 | 105490
EVC-163eb665269c4629,test,5,4,SCREW BEHIND OIL FILLER TUBE LOOSE.,"SCREW LOOSE ON BAFFLE, BEHIND OIL FILLER TUBE.",BAFFLE SCREW BEHIND OIL FILLER TUBE LOOSE.,102098 | 102099 | 102645 | 102678 | 103702
EVC-16493ebcdca585bd,train,5,2,L/H ENG #1 ROCKER COVER HAS DAMAGE.,"#1 L/H ENG, ROCKER COVER HAS DAMAGE.",,101023 | 101024 | 101025 | 101026 | 101027
EVC-2aa39cf627b2eb0f,train,5,1,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,,,100076 | 100077 | 100078 | 100079 | 100080
EVC-3546bcee77fb8bcd,train,5,1,IN STRAIGHT & LEVEL FLIGHT EXPERIENCED 2 VIBRATIONS W/ A/C Y,,,105689 | 105690 | 105691 | 105692 | 105693
EVC-39ecb73ee587490b,train,5,1,ROUGH ENGINE W/ OIL LEAK,,,103117 | 103118 | 103119 | 103120 | 103121
EVC-482d05bd2a60b78e,train,5,1,"ROUGH RUNNING ENGINE IN FLIGHT. PARTIAL POWER LOSS, LITTLE T",,,105927 | 105928 | 105929 | 105930 | 105931
EVC-4d6a7ccdf73adf0a,train,5,1,ENGINE REQUIRES TIME CHANGE.,,,103017 | 103018 | 103019 | 103020 | 103021
EVC-5072dc5dc3c8a43a,train,5,1,"WHILE FOGGING #2 CYL, TIP FROM SPRAYER NOZZLE CAME INTO CONT",,,103193 | 103194 | 103195 | 103196 | 103197
EVC-59938b515139e0c3,dev,5,1,"#4 CYL HAS LOW COMPRESSION, LEAKING THROUGH EXHAUST VALVE (2",,,104369 | 104370 | 104371 | 104372 | 104373
EVC-5e97d45785eee0d8,train,5,1,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN",,,105328 | 105329 | 105330 | 105331 | 105332
EVC-62b8044bc14cce9c,test,5,1,IDLE MIXTURE NEEDS ADJUSTMENT.,,,101119 | 101120 | 101121 | 101122 | 101123
EVC-62bf8d7328f9b376,train,5,1,ENGINE VERY ROUGH AFTER START - DOES NOT RUN AT IDLE.,,,105910 | 105911 | 105912 | 105913 | 105914
EVC-77058441c3b2dafd,train,5,3,R/H REAR BAFFLE MOUNT SCREW IS MISSING.,R/H REAR ENGINE BAFFLE MOUNTING SCREW MISSING.,R/H REAR BAFFLE MOUNTING SCREW IS MISSING.,101011 | 101411 | 101878 | 105010 | 105481
EVC-7bc5781f84aa2b3c,test,5,1,MANUFACTURER REQUESTED CONNECTING ROD EXCHANGE.,,,105916 | 105917 | 105918 | 105919 | 105920
EVC-869d241400f4f762,train,5,4,R/H FWD BAFFLE SEAL TORN.,FWD R/H BAFFLE SEAL IS TORN.,L/H ENG CYL #2 FWD BAFFLE SEAL IS TORN.,100437 | 100945 | 101537 | 101538 | 104218
EVC-9ff16d2b9862d7ed,train,5,1,DURING AUTO RECOVERY ENGINE RPM GOT TO 3500.,,,104959 | 104961 | 104962 | 104963 | 104964
EVC-a458525ef0d60fcb,train,5,3,OIL COOLERS DIRTY.,OIL COOLER IS DIRTY.,OIL COOLER DIRTY.,103656 | 104210 | 104225 | 105231 | 105358
EVC-ad911258aca4b734,dev,5,5,L/H ENG #4 CYL BAFFLE CRACKED.,R/H ENG #4 CYL BAFFLE CRACKED.,"CRACKED BAFFLE #3 CYL, R/H ENG.",100069 | 100070 | 102353 | 102585 | 103873
EVC-b094b9098852839a,train,5,1,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",,,103694 | 103696 | 103697 | 103698 | 103699
EVC-b1217b5cf28f3a4e,train,5,1,#1 CYL HAS LOW COMPRESSION (30/80).,,,103527 | 103528 | 103529 | 103530 | 103531
EVC-d2204cc48da6e5be,train,5,1,LEFT ENG BACK FIRED WHEN BROUGHT TO 1800 RPM. RIGHT MAG DROP,,,101037 | 101038 | 101039 | 101040 | 101041
EVC-d2bd560fbc8afbd4,train,5,1,"ON RUN UP; R/H ENG, L/H MAG FAILED MAG CK. CYL #1 HAD NO TEM",,,103959 | 103960 | 103961 | 103962 | 103963
EVC-d57640cf4cd5a9d8,train,5,3,RIVET SHEARED @ R/H AFT BAFFLE.,"SHEARED RIVET ON CYL #3 BAFFLE, AFT.",CYL #3 AFT BAFFLE HAS SHEARED RIVET.,101243 | 101325 | 101672 | 102009 | 102010
EVC-ddb98e867ed04ed8,train,5,4,#1 CYL BAFFLE SEAL LOOSE.,#1 BAFFLE SEAL LOOSE.,CYL #2 BAFFLE SEAL IS LOOSE.,103744 | 104205 | 104265 | 104454 | 105272
EVC-e12568bbee6d1225,train,5,2,SCREW MISSING IN #3 SIDE BAFFLE.,#3 CYL SIDE BAFFLE SCREW MISSING.,,102069 | 103833 | 104125 | 104359 | 105752
EVC-e7a443916019ab60,train,5,3,R/H ENG OIL COOLER BAFFLE CRACKED.,R/H ENG BAFFLE CRACKED BY OIL COOLER.,R/H ENG #4 BAFFLE CRACKED AT OIL COOLER.,101053 | 101058 | 101258 | 101262 | 103946
EVC-f14a14fd2723c06e,train,5,1,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,,,105667 | 105668 | 105669 | 105670 | 105671
EVC-f3c7bf6d36780ad7,train,5,2,ENGINE IS DIRTY.,ENGINE DIRTY.,,100835 | 101390 | 101398 | 101413 | 104589
EVC-0885410b802e84b9,train,4,1,"#2 CYL ""MISSING"" ON RUN UP (RUNS ROUGH).",,,100543 | 100544 | 100545 | 100546
EVC-0aa77e074624bb07,train,4,4,R/H FWD UPPER BAFFLE SEAL IS LOOSE.,R/H BAFFLE SEAL LOOSE (FWD UPPER).,UPPER R/H BAFFLE SEAL LOOSE.,100226 | 100372 | 101309 | 102586
EVC-0df0f2cb990a3afb,test,4,3,CYL #1 OIL RETURN LINE CHAFING.,#1 CYL ROCKER OIL RETURN LINE IS CHAFING.,"CYL BAFFLE CHAFING ON OIL RETURN LINE, #3 CYL.",100566 | 101741 | 101742 | 102456
EVC-0e7255425c3649da,dev,4,3,INTAKE TUBE #2 LEAKING.,#4 INTAKE TUBE LEAKING.,#2 INTAKE TUBE LEAKING.,100864 | 101814 | 101865 | 105281
EVC-16d5892695d482c6,train,4,2,OIL FILLER TUBE LOOSE.,R/H OIL FILLER TUBE LOOSE.,,101069 | 102870 | 102991 | 103356
EVC-1bc1706aba5e29a2,dev,4,4,CYL #4 ROCKER COVER GASKET NEEDS TO BE REPLACED.,"#1, 2, 3, 4 ROCKER COVER GASKETS NEED TO BE REPLACED.",#2 & 3 ROCKER COVER GASKETS NEED TO BE REPLACED.,101597 | 103712 | 104939 | 105420
EVC-1f9895efb083e227,dev,4,1,L/H ENG #4 CYL COMPRESSION @ 35.,,,102378 | 102382 | 102383 | 102384
EVC-2d0b4ee615016e3a,train,4,1,#3 CYL HAS LOW COMPRESSION (40/80).,,,105491 | 105492 | 105493 | 105494
EVC-333e3ced65808cda,train,4,1,#4 CYLINDER COMPRESSION @ 45/80.,,,105818 | 105819 | 105820 | 105821
EVC-34e2592c512c1dd0,train,4,1,R/H ENG #3 CYL CRACKED BY LWR SPARK PLUG.,,,106111 | 106112 | 106113 | 106114
EVC-3b2082a376849bac,train,4,4,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,CYL #3 AFT BAFFLE MOUNT RIVETS ARE SHEARED.,CYL #3 AFT BAFFLE I/B MOUNT RIVETS ARE SHEARED.,100134 | 100388 | 101535 | 101601
EVC-41f85d44eb305135,dev,4,1,"ON RUN UP, L/H MAG DROPPED 350 RPM.",,,101579 | 101580 | 101581 | 101582
EVC-425479a8ceb2d249,train,4,1,#4 CYL COMPRESSION 15/80.,,,102143 | 102144 | 102145 | 102146
EVC-44dd913aed4ee57f,train,4,1,L/H ENG #4 CYL DEAD.,,,103293 | 103298 | 103299 | 103300
EVC-45d73f753ce073fa,dev,4,1,ENGINE STARTED & SEEMED TO BE RUNNING FINE. SUDDENLY ENGINE,,,102036 | 102037 | 102038 | 102039
EVC-4e906f082cc3fd00,train,4,1,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,,,104768 | 104769 | 104770 | 104771
EVC-5012bda3fc59c8ca,dev,4,3,R/H FWD ENGINE BAFFLE LOOSE.,L/H ENG #2 FWD ENGINE BAFFLE LOOSE.,L/H FWD ENGINE BAFFLE LOOSE.,103381 | 103810 | 104231 | 105657
EVC-526a88b26ea90740,train,4,1,#4 CYL COMPRESSION TEST WAS 35/80.,,,101644 | 101645 | 101646 | 101647
EVC-53af95739d878c60,dev,4,1,"ROUGH ENGINE START UNUSUAL INDICATION CYL #4, LOWER TEMPERAT",,,104174 | 104175 | 104176 | 104177
EVC-5449b2a4cf2c0180,train,4,1,ENGINE CHANGE REQUIRED.,,,105977 | 105978 | 105979 | 105980
EVC-5aefb65112edd1f4,test,4,1,ROD CHANGE PER LYCOMING.,,,106079 | 106081 | 106082 | 106083
EVC-5c4ce4b79c33f25d,train,4,1,A/C WON'T START.,,,100738 | 100739 | 100740 | 100741
EVC-5c7444746cc594c1,train,4,1,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,,,100534 | 100535 | 100536 | 100537
EVC-63652801caa2fd02,train,4,4,#1 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,#2 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,#3 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,105663 | 105664 | 105665 | 105666
EVC-63869fdc2f6946b5,train,4,3,FWD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE.,FWD BAFFLE UNDER HEAT SHROUD INTAKE IS CRACKED.,FWD BAFFLE IS CRACKED @ HEAT SHROUD AIR INTAKE.,100841 | 101012 | 101059 | 101590
EVC-6565d25b03e668f6,train,4,1,FOD ON TOP OF ENGINE,,,101695 | 103729 | 103775 | 105475
EVC-678761ef85feb7c3,train,4,2,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.,"L/H ENG, L/H AFT BAFFLE CRACKED, SEVERAL PLACES.",,100248 | 100249 | 102328 | 102329
EVC-67f6b34b6d4a664a,dev,4,1,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,,,103752 | 103755 | 103756 | 103757
EVC-68ad2128d6682744,train,4,4,ENGINE BAFFLE PLUG TABS BROKEN.,ENGINE BAFFLE PLUGS (TABS) BROKEN.,#4 CYL BAFFLE PLUG TABS BROKEN.,100568 | 104425 | 105291 | 106124
EVC-6b0ddb9560247805,train,4,1,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,,,100853 | 100854 | 100855 | 100856
EVC-6d346fb098beea2a,train,4,1,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,,,100908 | 100909 | 100910 | 100911
EVC-709f6e9dda08dca1,train,4,1,ENGINE NEEDS TO BE FOGGED.,,,103460 | 103461 | 103462 | 103463
EVC-73a8329f29d545e6,dev,4,4,L/H DEFLECTOR BAFFLE IS CRACKED.,#2 & 4 CYL DEFLECTOR CRACKED.,L/H ENGINE BAFFLE DEFLECTOR CRACKED.,100340 | 104534 | 104738 | 104742
EVC-7f9a89c02bdd1284,train,4,1,OIL PRESSURE READ 100-105 PSI IN TRAFFIC PATTERN.,,,105839 | 105840 | 105841 | 105842
