example_id,record_id,field,raw_problem,raw_action,raw_text,reference_text,reference_edit,automatic_category,review_reason,source_matches_reference_source,review_status,review_comment,valid_primary,_merge,expert_reference_valid,include_extended_reference,reference_scope,decision_basis,qc_flag,review_method,reviewed_on,amin_abbreviation_evidence,amin_misspelling_evidence,numeral_or_symbol_expansion,input_text,target_text,cluster_id,split
100013::combined,100013,combined,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,normalize combined: INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",normgrp-77d003c59989,train
100014::combined,100014,combined,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.",,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,True,True,"normalize combined: #1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.",normgrp-033ab2e588fd,train
100015::combined,100015,combined,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,True,True,normalize combined: #2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,normgrp-458e8de9ec1f,validation
100016::combined,100016,combined,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,,possible_unsupported_addition,reference adds substantial text,True,approved_lexical,"Accepted as expert multi-token expansion or numeral verbalization. The earlier heuristic flag reflects length growth, not unsupported maintenance facts; source verified and no completion/truncation/anonymization flag.",True,both,True,True,primary_lexical,"Accepted as expert multi-token expansion or numeral verbalization. The earlier heuristic flag reflects length growth, not unsupported maintenance facts; source verified and no completion/truncation/anonymization flag.",length_expansion_reviewed,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,True,True,normalize combined: #1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,normgrp-458e8de9ec1f,validation
100017::combined,100017,combined,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,,unchanged,exactly identical,True,approved_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,True,both,True,True,primary_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,identity_pair,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,False,False,normalize combined: ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,normgrp-9891a5dbab0a,train
100019::combined,100019,combined,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REPLACED WITH NEW GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: #1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REPLACED WITH NEW GASKET.,normgrp-fd7f7cbf1e69,train
100020::combined,100020,combined,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING. REPLACED ROCKER COVER.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,normalize combined: ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING. REPLACED ROCKER COVER.,normgrp-458e8de9ec1f,validation
100021::combined,100021,combined,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,normgrp-ccb5af4aeae0,train
100022::combined,100022,combined,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: #2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,normgrp-9c4b877497bb,train
100023::combined,100023,combined,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,,unchanged,exactly identical,True,approved_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,True,both,True,True,primary_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,identity_pair,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,False,False,normalize combined: ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,normgrp-9891a5dbab0a,train
100024::combined,100024,combined,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,normalize combined: INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",normgrp-77d003c59989,train
100025::combined,100025,combined,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","#1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","NUMBER ONE INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,"normalize combined: #1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","NUMBER ONE INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",normgrp-d1a3e06c5daf,train
100026::combined,100026,combined,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,normalize combined: INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",normgrp-77d003c59989,train
100029::combined,100029,combined,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE INDICATED ZERO PSI.",,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,"normalize combined: ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE INDICATED ZERO PSI.",normgrp-c76366490a73,test
100030::combined,100030,combined,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. COMPLETED BAFFLE INSTALLATION, OIL FILLER TUBE, SPARK PLUGS.",,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,"normalize combined: ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. COMPLETED BAFFLE INSTALLATION, OIL FILLER TUBE, SPARK PLUGS.",normgrp-536b573c57d0,test
100031::combined,100031,combined,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REPLACED GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,True,True,normalize combined: #4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REPLACED GASKET.,normgrp-458e8de9ec1f,validation
