record_id,system,raw_text,prediction_text,problem_raw,action_raw,problem_candidate,action_candidate,problem_normalized,action_normalized,problem_candidate_grounded,action_candidate_grounded,problem_fallback,action_fallback,protected_tokens_preserved
100011,rules_then_byt5,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK",True,True,none,none,True
100012,rules_then_byt5,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,True,True,none,none,True
100013,rules_then_byt5,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100014,rules_then_byt5,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,True,True,none,none,True
100015,rules_then_byt5,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING.,REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING.,REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,True,True,none,none,True
100016,rules_then_byt5,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING.,REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING.,REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,True,True,none,none,True
100017,rules_then_byt5,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,True,True,none,none,True
100018,rules_then_byt5,#1 ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,NUMBER ONE ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,NUMBER ONE ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH,NUMBER ONE ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH,True,True,none,none,True
100019,rules_then_byt5,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REPLACED WITH NEW GASKET.,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING.,REPLACED WITH NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING.,REPLACED WITH NEW GASKET.,True,True,none,none,True
100020,rules_then_byt5,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING.,REPLACED ROCKER COVER.,True,True,none,none,True
100021,rules_then_byt5,CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,True,True,none,none,True
100022,rules_then_byt5,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,True,True,none,none,True
100023,rules_then_byt5,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,True,True,none,none,True
100024,rules_then_byt5,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100025,rules_then_byt5,"#1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","NUMBER ONE INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",NUMBER ONE INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",NUMBER ONE INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",True,True,none,none,True
100026,rules_then_byt5,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100027,rules_then_byt5,R/H MAG BLAST TUBE FELL OFF. REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,RIGHT-HAND MAGNETO BLAST TUBE FELL OFF. REMOVED RIGHT-HAND AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,RIGHT-HAND MAGNETO BLAST TUBE FELL OFF.,REMOVED RIGHT-HAND AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,RIGHT-HAND MAGNETO BLAST TUBE FELL OFF.,REMOVED RIGHT-HAND AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,True,True,none,none,True
100028,rules_then_byt5,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM INSPECTED CYLINDER ONE, TWO AND FOUR IN ACCORDANCE WITH, CHECKED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","INSPECTED CYLINDER ONE, TWO AND FOUR IN ACCORDANCE WITH, CHECKED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","INSPECTED CYLINDER ONE, TWO AND FOUR IN ACCORDANCE WITH, CHECKED OK. REMOVED",False,True,none,none,False
100029,rules_then_byt5,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE. INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE. INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE. INDICATED ZERO PSI.",False,True,none,none,False
100030,rules_then_byt5,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT SEVENTEEN HUNDRED AND TWENTY RPM","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",False,True,none,none,False
100031,rules_then_byt5,#4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,True,True,none,none,True
100032,rules_then_byt5,RIGHT ENG #4 AIR BAFFLE IS CRACKED REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENGINE NUMBER FOUR AIR BAFFLE IS CRACKED REMOVED AND REPLACED NUMBER FOUR AIR BAFFLE.,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENGINE NUMBER FOUR AIR BAFFLE IS CRACKED,REMOVED AND REPLACED NUMBER FOUR AIR BAFFLE.,RIGHT ENGINE NUMBER FOUR AIR BAFFLE IS CRACKED,REMOVED AND REPLACED NUMBER FOUR AIR BAFFLE.,True,True,none,none,True
100033,rules_then_byt5,R/H ENG FWD ALT ATTACH BOLT LOOSE. SECURED ALT ATTACH BOLT & RESAFETIED.,RIGHT-HAND ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE. SECURED ALTERNATOR ATTACH BOLT AND RESAFETIED.,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,RIGHT-HAND ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,SECURED ALTERNATOR ATTACH BOLT AND RESAFETIED.,RIGHT-HAND ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,SECURED ALTERNATOR ATTACH BOLT AND RESAFETIED.,True,True,none,none,True
100034,rules_then_byt5,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSY.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE. CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSEMBLY.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE. CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSEMBLY.,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE. CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSEMBLY.,True,True,none,none,True
100035,rules_then_byt5,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING. REMOVED & REPLACED ALL ROCKER GASKETS.","RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING. REMOVED AND REPLACED ALL ROCKER GASKETS.","RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING.",REMOVED AND REPLACED ALL ROCKER GASKETS.,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING.",REMOVED AND REPLACED ALL ROCKER GASKETS.,True,True,none,none,True
100036,rules_then_byt5,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,LEFT-HAND ENGINE ALL FOUR ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,LEFT-HAND ENGINE ALL FOUR ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,LEFT-HAND ENGINE ALL FOUR ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,True,True,none,none,True
100037,rules_then_byt5,"L/H ENG #2 INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO","LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",True,True,none,none,True
100038,rules_then_byt5,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. RAN AIRCRAFT, MAGNETOS CHECK GOOD. POWER AND LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","RAN AIRCRAFT, MAGNETOS CHECK GOOD. POWER AND LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","RAN AIRCRAFT, MAGNETOS CHECK GOOD. POWER AND LEAK CHECK GOOD.",True,True,none,none,True
100039,rules_then_byt5,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. REMOVED NUMBER THREE CYLINDER, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","REMOVED NUMBER THREE CYLINDER, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","REMOVED NUMBER THREE CYLINDER, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",True,True,none,none,True
100040,rules_then_byt5,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE. REASSEMBLED ENGINE, NUMBER THREE CYLINDER DRY TAPPET CLEARANCE CHECK","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","REASSEMBLED ENGINE, NUMBER THREE CYLINDER DRY TAPPET CLEARANCE CHECK","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETO INOPERABLE.","REASSEMBLED ENGINE, NUMBER THREE CYLINDER DRY TAPPET CLEARANCE CHECK",True,True,none,none,True
100041,rules_then_byt5,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING.,REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING.,REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,True,True,none,none,True
