record_id,system,raw_text,prediction_text,problem_raw,action_raw,problem_candidate,action_candidate,problem_normalized,action_normalized,problem_candidate_grounded,action_candidate_grounded,problem_fallback,action_fallback,protected_tokens_preserved
100011,raw,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",True,True,none,none,True
100012,raw,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,True,True,none,none,True
100013,raw,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100014,raw,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,True,True,none,none,True
100015,raw,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,True,True,none,none,True
100016,raw,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,True,True,none,none,True
100017,raw,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,True,True,none,none,True
100018,raw,#1 ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,#1 ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,True,True,none,none,True
100019,raw,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,True,True,none,none,True
100020,raw,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,True,True,none,none,True
100021,raw,CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,True,True,none,none,True
100022,raw,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,True,True,none,none,True
100023,raw,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,True,True,none,none,True
100024,raw,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100025,raw,"#1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","#1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",True,True,none,none,True
100026,raw,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100027,raw,R/H MAG BLAST TUBE FELL OFF. REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,R/H MAG BLAST TUBE FELL OFF. REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,True,True,none,none,True
100028,raw,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED",True,True,none,none,True
100029,raw,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.",True,True,none,none,True
100030,raw,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",True,True,none,none,True
100031,raw,#4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,True,True,none,none,True
100032,raw,RIGHT ENG #4 AIR BAFFLE IS CRACKED REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENG #4 AIR BAFFLE IS CRACKED REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,True,True,none,none,True
100033,raw,R/H ENG FWD ALT ATTACH BOLT LOOSE. SECURED ALT ATTACH BOLT & RESAFETIED.,R/H ENG FWD ALT ATTACH BOLT LOOSE. SECURED ALT ATTACH BOLT & RESAFETIED.,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,True,True,none,none,True
100034,raw,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSY.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES. REPLACED BAFFLE ASSY.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,True,True,none,none,True
100035,raw,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING. REMOVED & REPLACED ALL ROCKER GASKETS.","RIGHT ENG, ALL VALVE COVERS ARE LEAKING. REMOVED & REPLACED ALL ROCKER GASKETS.","RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,True,True,none,none,True
100036,raw,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING. REPLACED ALL ROCKER COVER GASKETS.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,True,True,none,none,True
100037,raw,"L/H ENG #2 INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO","L/H ENG #2 INTAKE LEAKING. REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",True,True,none,none,True
100038,raw,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",True,True,none,none,True
100039,raw,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",True,True,none,none,True
100040,raw,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G",True,True,none,none,True
100041,raw,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,True,True,none,none,True
100042,raw,#3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,True,True,none,none,True
100043,raw,TOP L/H BAFFLE HAS A CRACK. STOP DRILLED CRACK.,TOP L/H BAFFLE HAS A CRACK. STOP DRILLED CRACK.,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,True,True,none,none,True
100044,raw,OIL DIPSTICK OIL STICK IS LOOSE. REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE. REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,True,True,none,none,True
100045,raw,#3 BRAKE MISSING SCREW. REPLACED SCREW.,#3 BRAKE MISSING SCREW. REPLACED SCREW.,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,True,True,none,none,True
100046,raw,BAFFLE SEALS ON R/H SIDE ARE TORN. APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON R/H SIDE ARE TORN. APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,True,True,none,none,True
100047,raw,#2 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,True,True,none,none,True
