ident,problem,action,evidence_cluster_id,leakage_group_id,split
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.,EC-5c8d7464f5cb582b,LG-5c8d7464f5cb582b,train
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",EC-fd1031f4b4d5ec0b,LG-608d782c2258dd59,train
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",EC-f31ef7af0c649c8f,LG-608d782c2258dd59,train
100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,EC-5703fa984dc89db3,LG-5703fa984dc89db3,train
100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,EC-cd33c56b9090b89a,LG-608d782c2258dd59,train
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,EC-e3bf5faf39b086e5,LG-608d782c2258dd59,train
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.,EC-79cfb25cb0ed6ab7,LG-79cfb25cb0ed6ab7,train
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,EC-f5a525d5c45760f0,LG-4285908bb8f7434c,train
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.,EC-c83e0f82ea544841,LG-c83e0f82ea544841,train
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.,EC-c65909a036192717,LG-c65909a036192717,test
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.,EC-c65909a036192717,LG-c65909a036192717,test
100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,EC-8ec828272e86c6c2,LG-10956cdabbd1e3ce,dev
100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,EC-946f5b2f2e831420,LG-946f5b2f2e831420,dev
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,EC-21d328803a9ed857,LG-608d782c2258dd59,train
100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,EC-c3aa26ca83c3ba37,LG-c3aa26ca83c3ba37,test
100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,EC-59c5dc8b564981cd,LG-608d782c2258dd59,train
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.,EC-f377d5949da4c8fa,LG-f377d5949da4c8fa,train
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,EC-93c2954bb4e7ee93,LG-608d782c2258dd59,train
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,EC-16c8b7273dd75e3d,LG-16c8b7273dd75e3d,train
100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,EC-907095f0489f2214,LG-4285908bb8f7434c,train
100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,EC-8ec828272e86c6c2,LG-10956cdabbd1e3ce,dev
100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.,EC-59c5dc8b564981cd,LG-608d782c2258dd59,train
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,EC-10eb59357b7ac068,LG-4285908bb8f7434c,train
100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.,EC-0f3a82555030fc61,LG-ac09d330d3a5d8db,dev
100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.,EC-d6ef4f51c04ca088,LG-d6ef4f51c04ca088,train
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.",EC-142f9cbe911939d5,LG-142f9cbe911939d5,train
100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,EC-c00d4539aee11f01,LG-4285908bb8f7434c,train
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,EC-4c20978574541c42,LG-608d782c2258dd59,train
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,EC-d8e2c86bb2b85bb7,LG-d8e2c86bb2b85bb7,test
100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL",EC-d8e2c86bb2b85bb7,LG-d8e2c86bb2b85bb7,test
100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,EC-6e5f6efdfa8729e3,LG-26ffbcbee302311b,test
100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,EC-2f30d516ab5a6e5e,LG-608d782c2258dd59,train
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,EC-62e873c5130f18c5,LG-62e873c5130f18c5,dev
100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N",EC-6926b8c2ed7d4622,LG-6926b8c2ed7d4622,train
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.,EC-7fe5feb6517e93bd,LG-7fe5feb6517e93bd,train
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.,EC-7fe5feb6517e93bd,LG-7fe5feb6517e93bd,train
100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",EC-7fe5feb6517e93bd,LG-7fe5feb6517e93bd,train
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.,EC-defd1f989fb2b90e,LG-4285908bb8f7434c,train
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,EC-d18d5f5546cb39f7,LG-608d782c2258dd59,train
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.,EC-ee2feb9d6fe7f55c,LG-608d782c2258dd59,train
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.,EC-e740162ab1298a91,LG-e740162ab1298a91,train
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A",EC-e82eea9a96c3cbb9,LG-e82eea9a96c3cbb9,train
100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,EC-672c4039227aa006,LG-f40ff9615f91de7f,test
100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,EC-685f78d908b88069,LG-608d782c2258dd59,train
100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,EC-da6ceccf140509ee,LG-608d782c2258dd59,train
100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.,EC-f28942c0503ea67b,LG-f28942c0503ea67b,train
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.,EC-6eab2c197e781dbf,LG-608d782c2258dd59,train
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.,EC-06dca66fdcbfae54,LG-06dca66fdcbfae54,test
100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.,EC-06dca66fdcbfae54,LG-06dca66fdcbfae54,test
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,EC-06dca66fdcbfae54,LG-06dca66fdcbfae54,test
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,EC-06dca66fdcbfae54,LG-06dca66fdcbfae54,test
100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,EC-8828e17d0b33db57,LG-608d782c2258dd59,train
100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",EC-c3aa26ca83c3ba37,LG-c3aa26ca83c3ba37,test
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,EC-aff31a2efedf27dc,LG-f40ff9615f91de7f,test
100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.,EC-eff30ff0f02187f3,LG-eff30ff0f02187f3,dev
100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",EC-725a534206abf392,LG-725a534206abf392,train
